Name,ST,url,MLST_Profile,Genotype,SNPs_called
ERR213286,2,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.2.1.1.1.5,2.3.5,82
ERR213287,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.2.3,82
ERR213288,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.2.2,82
ERR213289,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.2.2,82
ERR213290,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.2.2,82
ERR2173673,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.1,82
ERR217406,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.1.EA1,82
ERR2204203,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.1,82
ERR2204204,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.1,82
ERR2204205,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.2,82
ERR2215174,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.2,82
ERR226486,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.2,82
ERR226487,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.2,82
ERR226488,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.1,82
ERR226489,2173,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.2.1.1.476.5,2.2.1,82
ERR226490,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.2,82
ERR226491,2173,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.2.1.1.476.5,2.2.1,82
ERR226493,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.2,82
ERR226494,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.2,82
ERR226495,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.2,82
ERR226496,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.2,82
ERR226497,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.2,82
ERR226498,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.1,82
ERR226499,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.2,82
ERR226500,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.2,82
ERR226501,2,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.2.1.1.1.5,2,82
ERR226502,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.1,82
ERR226503,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.2,82
ERR226505,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.1,82
ERR226506,2,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.2.1.1.1.5,3.3.2,82
ERR226507,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.2,82
ERR2651547,2209,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.2.1.484.1.5,2.3.3,82
ERR2663461,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.3,82
ERR2663462,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.3,82
ERR2663463,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.3,82
ERR2663464,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.3,82
ERR2663465,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.3,82
ERR2663466,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.1,82
ERR2663467,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.3,82
ERR2663468,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.1,82
ERR2663469,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.3,82
ERR2663470,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1,82
ERR2663471,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.3,82
ERR2663472,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.3,82
ERR2663473,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.3,82
ERR2663474,1,http://mlst.warwick.ac.uk/mlst/dbs/Senterica,1.1.1.1.1.1.5,4.3.1.3,82
