experiment_accession,run_accession,accession,sample_accession,secondary_sample_accession,instrument_platform,instrument_model,library_name,library_layout,nominal_length,library_strategy,library_source,library_selection,read_count,base_count,center_name,fastq_bytes,cell_line,cell_type,collected_by,collection_date,country,description,environmental_sample,first_public,germline,identified_by,isolation_source,location,serotype,serovar,sex,submitted_sex,sub_species,tissue_type,tax_id,scientific_name,sample_alias,center_name_1,sampling_campaign,sampling_site,sampling_platform,protocol_label,project_name,host,host_tax_id,host_status,host_sex,submitted_host_sex,host_body_site,host_gravidity,investigation_type,experimental_factor,sample_collection,sequencing_method,sample_title,sample_material,taxonomic_identity_marker,completeness_score,contamination_score,binning_software,lat,lon,sample_capture_status,collection_date_submitted,submission_tool
SRX4083834,SRR7165726,SAMN09209993,SAMN09209993,SRS3300837,ILLUMINA,Illumina HiSeq 2500,476574,PAIRED,,WGS,GENOMIC,RANDOM,627458.0,123963125.0,,38263664;39767509,,,PHE,2018-01-01,United Kingdom: United Kingdom,Illumina HiSeq 2500 sequencing,False,2018-05-17,False,,human,,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,476574.biosample,,,,,,,Homo sapiens,9606.0,,,,,,,,,,Salmonella enterica enterica serovar Salmonella Typhi 476574,,,,,,,,,Jan-2018,
SRX4083185,SRR7165018,SAMN09209707,SAMN09209707,SRS3300371,ILLUMINA,Illumina HiSeq 2500,503057,PAIRED,,WGS,GENOMIC,RANDOM,625735.0,125431447.0,,39454808;40547274,,,PHE,2018-02-01,United Kingdom: United Kingdom,Illumina HiSeq 2500 sequencing,False,2018-05-17,False,,human,,Salmonella Typhi,Salmonella Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,503057.biosample,,,,,,,Homo sapiens,9606.0,,,,,,,,,,Salmonella enterica enterica serovar Salmonella Typhi 503057,,,,,,,,,Feb-2018,
SRX8783600,SRR12278691,SAMN15356725,SAMN15356725,SRS7052343,ILLUMINA,Illumina MiniSeq,333A_84,PAIRED,,WGS,GENOMIC,PCR,437581.0,127276812.0,SUB7736818,30780678;32811065,,,,1984-01-01,Rwanda: Kicukiro,Illumina MiniSeq sequencing; WGS of Salmonella Typhi: Blood sample,False,2021-04-01,False,,blood,2.0086 S 30.1358 E,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,333A_84,SUB7736818,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|jrutanga on 2021-04-01; Salmonella enterica subsp. enterica serovar Typhi,,,,,,-2.0086,30.1358,,1984,
SRX8783591,SRR12278700,SAMN15356762,SAMN15356762,SRS7052334,ILLUMINA,Illumina MiniSeq,514_15,PAIRED,,WGS,GENOMIC,PCR,509407.0,129545852.0,SUB7736818,32702254;34001013,,,,2015-01-01,Rwanda: Gatsibo,Illumina MiniSeq sequencing; WGS of Salmonella Typhi: Blood sample,False,2021-04-01,False,,blood,1.614 S 30.3897 E,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,514_15,SUB7736818,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|jrutanga on 2021-04-01; Salmonella enterica subsp. enterica serovar Typhi,,,,,,-1.614,30.3897,,2015,
SRX8783581,SRR12278710,SAMN15356753,SAMN15356753,SRS7052324,ILLUMINA,Illumina MiniSeq,B009_11,PAIRED,,WGS,GENOMIC,PCR,470634.0,130696662.0,SUB7736818,33232040;34709524,,,,2011-01-01,Rwanda: Huye,Illumina MiniSeq sequencing; WGS of Salmonella Typhi: Blood sample,False,2021-04-01,False,,blood,2.0086 S 30.1358 E,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,B009_11,SUB7736818,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|jrutanga on 2021-04-01; Salmonella enterica subsp. enterica serovar Typhi,,,,,,-2.0086,30.1358,,2011,
SRX8783569,SRR12278722,SAMN15356742,SAMN15356742,SRS7052312,ILLUMINA,Illumina MiniSeq,B033_10,PAIRED,,WGS,GENOMIC,PCR,520165.0,130958854.0,SUB7736818,32995634;34307644,,,,2010-01-01,Rwanda: Musanze,Illumina MiniSeq sequencing; WGS of Salmonella Typhi: Blood sample,False,2021-04-01,False,,blood,1.4919 S 29.5572 E,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,B033_10,SUB7736818,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|jrutanga on 2021-04-01; Salmonella enterica subsp. enterica serovar Typhi,,,,,,-1.4919,29.5572,,2010,
SRX8783586,SRR12278705,SAMN15356757,SAMN15356757,SRS7052329,ILLUMINA,Illumina MiniSeq,326A_13,PAIRED,,WGS,GENOMIC,PCR,500880.0,131661639.0,SUB7736818,33763201;34873854,,,,2013-01-01,Rwanda: Rusizi,Illumina MiniSeq sequencing; WGS of Salmonella Typhi: Blood sample,False,2021-04-01,False,,blood,2.5303 S 29.1856 E,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,326A_13,SUB7736818,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|jrutanga on 2021-04-01; Salmonella enterica subsp. enterica serovar Typhi,,,,,,-2.5303,29.1856,,2013,
SRX8783572,SRR12278719,SAMN15356745,SAMN15356745,SRS7052315,ILLUMINA,Illumina MiniSeq,B091_10,PAIRED,,WGS,GENOMIC,PCR,496528.0,132199144.0,SUB7736818,34265083;34427508,,,,2010-01-01,Rwanda: Huye,Illumina MiniSeq sequencing; WGS of Salmonella Typhi: Blood sample,False,2021-04-01,False,,blood,2.0086 S 30.1358 E,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,B091_10,SUB7736818,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|jrutanga on 2021-04-01; Salmonella enterica subsp. enterica serovar Typhi,,,,,,-2.0086,30.1358,,2010,
SRX4083532,SRR7165423,SAMN09209788,SAMN09209788,SRS3300579,ILLUMINA,Illumina HiSeq 2500,470192,PAIRED,,WGS,GENOMIC,RANDOM,678316.0,132342398.0,,40459357;41659577,,,PHE,2018-01-01,United Kingdom: United Kingdom,Illumina HiSeq 2500 sequencing,False,2018-05-17,False,,human,,Salmonella Typhi,Salmonella Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,470192.biosample,,,,,,,Homo sapiens,9606.0,,,,,,,,,,Salmonella enterica enterica serovar Salmonella Typhi 470192,,,,,,,,,Jan-2018,
SRX4739229,SRR7902624,SAMN10128318,SAMN10128318,SRS3820803,ILLUMINA,Illumina HiSeq 2500,strain,PAIRED,,WGS,GENOMIC,RANDOM,675210.0,135476931.0,,39490808;42285788,,,PHE,2018-04-01,United Kingdom: United Kingdom,Illumina HiSeq 2500 sequencing,False,2018-09-27,False,,human,,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,526813.biosample,,,,,,,Homo sapiens,9606.0,,,,,,,,,,Salmonella enterica enterica serovar Salmonella Typhi 526813,,,,,,,,,2018-04,
ERX5755323,ERR6118098,SAMEA9253015,SAMEA9253015,ERS6987661,ILLUMINA,NextSeq 500,unspecified,PAIRED,350.0,WGS,GENOMIC,RT-PCR,612632.0,137100588.0,CHRISTIAN MEDICAL COLLEGE,42855360;53134913,,,,2019-01-01,India,NextSeq 500 paired end sequencing,False,2021-06-24,False,,,,,,,,,,90370,Salmonella enterica subsp. enterica serovar Typhi,V13307,CHRISTIAN MEDICAL COLLEGE,,,,,,Homo sapiens,9606.0,healthy,,,,,,,,,Genomic surveillance of Salmonella Typhi,,,,,,,,,2019,
SRX8783597,SRR12278694,SAMN15356767,SAMN15356767,SRS7052340,ILLUMINA,Illumina MiniSeq,2929H_CHUK,PAIRED,,WGS,GENOMIC,PCR,500537.0,137148420.0,SUB7736818,34763737;36077385,,,,2018-01-01,Rwanda:Gicumbi,Illumina MiniSeq sequencing; WGS of Salmonella Typhi: Blood sample,False,2021-04-01,False,,blood,1.635 S 30.1358 E,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,2929H_CHUK,SUB7736818,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|jrutanga on 2021-04-01; Salmonella enterica subsp. enterica serovar Typhi,,,,,,-1.635,30.1358,,2018,
SRX2872659,SRR5632808,SAMN07180451,SAMN07180451,SRS2242779,ILLUMINA,Illumina HiSeq 2500,337622,PAIRED,,WGS,GENOMIC,RANDOM,699842.0,137865569.0,,43528923;44164460,,,PHE,2017-01-01,United Kingdom: United Kingdom,Illumina HiSeq 2500 sequencing,False,2017-06-02,False,,human,,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,337622.biosample,,,,,,,Homo sapiens,9606.0,,,,,,,,,,Salmonella enterica enterica serovar Salmonella Typhi 337622,,,,,,,,,Jan-2017,
SRX4200418,SRR7297884,SAMN09403051,SAMN09403051,SRS3410651,ILLUMINA,Illumina HiSeq 2500,455108,PAIRED,,WGS,GENOMIC,RANDOM,705496.0,141455899.0,,39309136;41440628,,,PHE,2018-05-01,United Kingdom: United Kingdom,Illumina HiSeq 2500 sequencing,False,2018-06-14,False,,human,,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,541392.biosample,,,,,,,Homo sapiens,9606.0,,,,,,,,,,Salmonella enterica enterica serovar Salmonella Typhi 541392,,,,,,,,,May-2018,
SRX4297242,SRR7426420,SAMN09483903,SAMN09483903,SRS3460250,ILLUMINA,Illumina HiSeq 2500,455108,PAIRED,,WGS,GENOMIC,RANDOM,723640.0,143973300.0,,43611861;46353757,,,PHE,2018-02-01,United Kingdom: United Kingdom,Illumina HiSeq 2500 sequencing,False,2018-06-26,False,,human,,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,498897.biosample,,,,,,,Homo sapiens,9606.0,,,,,,,,,,Salmonella enterica enterica serovar Salmonella Typhi 498897,,,,,,,,,Feb-2018,
SRX8783563,SRR12278728,SAMN15356719,SAMN15356719,SRS7052306,ILLUMINA,Illumina MiniSeq,320_84,PAIRED,,WGS,GENOMIC,PCR,498498.0,144236415.0,SUB7736818,35759865;38122214,,,,1984-01-01,Rwanda: Kicukiro,Illumina MiniSeq sequencing; WGS of Salmonella Typhi: Blood sample,False,2021-04-01,False,,blood,2.0086 S 30.1358 E,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,320_84,SUB7736818,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|jrutanga on 2021-04-01; Salmonella enterica subsp. enterica serovar Typhi,,,,,,-2.0086,30.1358,,1984,
SRX5005899,SRR8186057,SAMN10416047,SAMN10416047,SRS4040116,ILLUMINA,Illumina HiSeq 2500,strain,PAIRED,,WGS,GENOMIC,RANDOM,786014.0,145332268.0,,48760424;46910603,,,PHE,2018-10-01,United Kingdom: United Kingdom,Illumina HiSeq 2500 sequencing,False,2018-11-15,False,,human,,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,634834.biosample,,,,,,,Homo sapiens,9606.0,,,,,,,,,,Salmonella enterica enterica serovar Salmonella Typhi 634834,,,,,,,,,2018-10,
SRX4187903,SRR7284363,SAMN09386434,SAMN09386434,SRS3399277,ILLUMINA,Illumina HiSeq 2500,455108,PAIRED,,WGS,GENOMIC,RANDOM,730768.0,146711676.0,,40698338;43027900,,,PHE,2018-04-01,United Kingdom: United Kingdom,Illumina HiSeq 2500 sequencing,False,2018-06-10,False,,human,,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,531284.biosample,,,,,,,Homo sapiens,9606.0,,,,,,,,,,Salmonella enterica enterica serovar Salmonella Typhi 531284,,,,,,,,,Apr-2018,
ERX5755348,ERR6118123,SAMEA9253040,SAMEA9253040,ERS6987686,ILLUMINA,NextSeq 500,unspecified,PAIRED,350.0,WGS,GENOMIC,RT-PCR,674828.0,147853368.0,CHRISTIAN MEDICAL COLLEGE,46185342;57486412,,,,2019-01-01,India,NextSeq 500 paired end sequencing,False,2021-06-24,False,,,,,,,,,,90370,Salmonella enterica subsp. enterica serovar Typhi,V16183,CHRISTIAN MEDICAL COLLEGE,,,,,,Homo sapiens,9606.0,healthy,,,,,,,,,Genomic surveillance of Salmonella Typhi,,,,,,,,,2019,
SRX11638992,SRR15334701,SAMN20527548,SAMN20527548,SRS9672606,ILLUMINA,Illumina HiSeq 2500,strain,PAIRED,,WGS,GENOMIC,RANDOM,745022.0,148382179.0,,48083838;49526783,,,PHE,2021-02-01,United Kingdom: United Kingdom,Illumina HiSeq 2500 sequencing,False,2021-08-25,False,,human,,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,1104767.biosample,,,,,,,Homo sapiens,9606.0,,,,,,,,,,Salmonella enterica enterica serovar Salmonella Typhi 1104767,,,,,,,,,2021-02,
SRX7405230,SRR10729110,SAMN13624902,SAMN13624902,SRS5852799,ILLUMINA,Illumina HiSeq 2500,strain,PAIRED,,WGS,GENOMIC,RANDOM,747996.0,148423898.0,,47110544;49018108,,,PHE,2019-12-01,United Kingdom: United Kingdom,Illumina HiSeq 2500 sequencing,False,2019-12-20,False,,human,,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,855591.biosample,,,,,,,Homo sapiens,9606.0,,,,,,,,,,Salmonella enterica enterica serovar Salmonella Typhi 855591,,,,,,,,,2019-12,
SRX4240529,SRR7367580,SAMN09459115,SAMN09459115,SRS3436440,ILLUMINA,Illumina HiSeq 2500,455108,PAIRED,,WGS,GENOMIC,RANDOM,743916.0,149153778.0,,39773864;42365425,,,PHE,2018-04-01,United Kingdom: United Kingdom,Illumina HiSeq 2500 sequencing,False,2018-06-26,False,,human,,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,524815.biosample,,,,,,,Homo sapiens,9606.0,,,,,,,,,,Salmonella enterica enterica serovar Salmonella Typhi 524815,,,,,,,,,Apr-2018,
SRX13166990,SRR16976183,SAMN23284690,SAMN23284690,SRS11098034,ILLUMINA,Illumina HiSeq 2500,strain,PAIRED,,WGS,GENOMIC,RANDOM,784557.0,149238516.0,,48541840;49544550,,,PHE,2021-11-01,United Kingdom: United Kingdom,Illumina HiSeq 2500 sequencing,False,2021-11-20,False,,human,,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,1529034.biosample,,,,,,,Homo sapiens,9606.0,,,,,,,,,,Salmonella enterica enterica serovar Salmonella Typhi 1529034,,,,,,,,,2021-11,
SRX13895901,SRR17733146,SAMN25236592,SAMN25236592,SRS11759074,ILLUMINA,Illumina MiSeq,E15,PAIRED,,WGS,GENOMIC,PCR,504581.0,149955505.0,SUB10986225,56112145;60011975,,,CPHL-Iraq,2019-02-04,Iraq: Baghdad,Illumina MiSeq sequencing; WGS of S.Typhi,False,2022-01-26,False,,blood,33.31 N 44.36 E,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,SAL_20201227_E15,SUB10986225,,,,,,Homo sapiens,9606.0,,female,female,,,,,,,F16_HAD,,,,,,33.31,44.36,,2019-02-04,
SRX1497816,SRR3048864,SAMN04363116,SAMN04363116,SRS1219462,ILLUMINA,Illumina HiSeq 2500,18669,PAIRED,,WGS,GENOMIC,RANDOM,783391.0,150819744.0,,42535964;43480644,,,PHE,,United Kingdom: None,Illumina HiSeq 2500 sequencing,False,2015-12-25,False,,human,,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,18669.biosample,,,,,,,Homo sapiens,9606.0,,,,,,,,,,Salmonella enterica subsp I enterica serovar Salmonella Typhi 18669,,,,,,,,,,
SRX2547628,SRR5240755,SAMN06309775,SAMN06309775,SRS1966305,ILLUMINA,Illumina MiSeq,NexteraXT,PAIRED,,WGS,GENOMIC,RANDOM,385095.0,153378731.0,,50538171;60728537,,,CDC,2015-08-01,USA,Illumina MiSeq sequencing,False,2017-11-07,False,,blood,,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,PNUSAS007872,,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|dlgriffin on 2017-04-26; Salmonella enterica subsp. enterica serovar Typhi,,,,,,,,,Aug-2015,
ERX2180908,ERR2124056,SAMEA104304819,SAMEA104304819,ERS1929797,ILLUMINA,Illumina HiSeq 2500,414476,PAIRED,500.0,WGS,GENOMIC,RANDOM,773047.0,153680809.0,University Hospital Galway,50774377;52704843,,,,2017-01-01,Ireland,Illumina HiSeq 2500 paired end sequencing,False,2017-09-15,False,,Human,,Typhi,Typhi,,,Subsp. I,,90370,Salmonella enterica subsp. enterica serovar Typhi,MS170272,University Hospital Galway,,,,,,Homo sapiens,9606.0,,,,,,,,,,MS170272,,,,,,,,,2017,
SRX1793122,SRR3572962,SAMN05005117,SAMN05005117,SRS1462778,ILLUMINA,Illumina MiSeq,NexteraXT,PAIRED,,WGS,GENOMIC,RANDOM,315856.0,154966593.0,,49519149;56535225,,,CDC,2016-04-01,USA,Illumina MiSeq sequencing,False,2016-05-24,False,,blood,,Typhi,Typhi,,,,,90370,Salmonella enterica subsp. enterica serovar Typhi,PNUSAS002277,,,,,,,,,,,,,,,,,,This sample has been submitted by pda|uphl on 2016-05-24; Salmonella enterica subsp. enterica serovar Typhi,,,,,,,,,Apr-2016,
SRX4083674,SRR7165565,SAMN09209909,SAMN09209909,SRS3300687,ILLUMINA,Illumina HiSeq 2500,445977,PAIRED,,WGS,GENOMIC,RANDOM,782087.0,155151396.0,,53347103;53488939,,,PHE,2017-11-01,United Kingdom: United Kingdom,Illumina HiSeq 2500 sequencing,False,2018-05-17,False,,human,,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,445977.biosample,,,,,,,Homo sapiens,9606.0,,,,,,,,,,Salmonella enterica enterica serovar Salmonella Typhi 445977,,,,,,,,,2017-11,
SRX14144423,SRR17988777,SAMN25869344,SAMN25869344,SRS11970086,ILLUMINA,Illumina HiSeq 2500,strain,PAIRED,,WGS,GENOMIC,RANDOM,779615.0,156210142.0,,50319967;51912288,,,PHE,2022-02-01,United Kingdom: United Kingdom,Illumina HiSeq 2500 sequencing,False,2022-02-13,False,,human,,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,1574527.biosample,,,,,,,Homo sapiens,9606.0,,,,,,,,,,Salmonella enterica enterica serovar Salmonella Typhi 1574527,,,,,,,,,2022-02,
SRX8783564,SRR12278727,SAMN15356737,SAMN15356737,SRS7052307,ILLUMINA,Illumina MiniSeq,576_85,PAIRED,,WGS,GENOMIC,PCR,538182.0,157023219.0,SUB7736818,42473812;42845113,,,,1985-01-01,Rwanda: Huye,Illumina MiniSeq sequencing; WGS of Salmonella Typhi: Blood sample,False,2021-04-01,False,,blood,2.0086 S 30.1358 E,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,576_85,SUB7736818,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|jrutanga on 2021-04-01; Salmonella enterica subsp. enterica serovar Typhi,,,,,,-2.0086,30.1358,,1985,
SRX987338,SRR1965489,SAMN03475610,SAMN03475610,SRS902082,ILLUMINA,Illumina HiSeq 2500,22233,PAIRED,,WGS,GENOMIC,RANDOM,818114.0,157112059.0,PHE,43836590;46284976,,,PHE,2014-06-01,United Kingdom: North of England,Illumina HiSeq 2500 sequencing,False,2015-06-05,False,,human,,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,22233.biosample,PHE,,,,,,Homo sapiens,9606.0,,,,,,,,,,Salmonella enterica subsp I enterica serovar Typhi 22233,,,,,,,,,2014-06,
SRX4083619,SRR7165510,SAMN09209892,SAMN09209892,SRS3300667,ILLUMINA,Illumina HiSeq 2500,483051,PAIRED,,WGS,GENOMIC,RANDOM,787001.0,157157213.0,,49022250;49394032,,,PHE,2018-01-01,United Kingdom: United Kingdom,Illumina HiSeq 2500 sequencing,False,2018-05-17,False,,human,,Typhi,Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,483051.biosample,,,,,,,Homo sapiens,9606.0,,,,,,,,,,Salmonella enterica enterica serovar Salmonella Typhi 483051,,,,,,,,,Jan-2018,
SRX4083547,SRR7165438,SAMN09209825,SAMN09209825,SRS3300595,ILLUMINA,Illumina HiSeq 2500,351258,PAIRED,,WGS,GENOMIC,RANDOM,816453.0,157269556.0,,45482048;47836038,,,PHE,2014-04-01,United Kingdom: United Kingdom,Illumina HiSeq 2500 sequencing,False,2018-05-17,False,,human,,Salmonella Typhi,Salmonella Typhi,,,enterica,,90370,Salmonella enterica subsp. enterica serovar Typhi,351258.biosample,,,,,,,Homo sapiens,9606.0,,,,,,,,,,Salmonella enterica enterica serovar Salmonella Typhi 351258,,,,,,,,,Apr-2014,
