accession_id,FLUOROQUINOLONE
ERR1540547,none
ERR1540548,none
ERR1540549,none
ERR1540550,gyrA_D87N;oqxA;oqxB;aac(6')-Ib-cr5
ERR1540551,none
ERR1540552,none
ERR1540553,none
ERR1540554,none
ERR1540555,none
ERR1540556,none
ERR1540557,none
ERR1540558,none
ERR1540559,none
ERR1540560,none
ERR1540561,none
ERR1540562,none
ERR1540563,none
ERR1540564,none
ERR1540565,none
ERR1540566,none
ERR1540567,none
ERR1540568,none
ERR1540569,none
ERR1540570,none
ERR1540571,none
ERR1540572,none
ERR1540573,none
ERR1540574,none
ERR1540575,none
ERR1540576,none
ERR1540577,none
ERR1540578,none
ERR1540579,none
ERR1540580,none
ERR1540581,none
ERR1540582,none
ERR1540583,none
ERR1540584,none
ERR1540585,none
ERR1540586,none
ERR1540587,none
ERR1540588,none
ERR1540589,none
ERR1540590,none
ERR1540591,none
ERR1540592,none
ERR1540593,none
ERR1540594,none
ERR1540595,none
ERR1540596,none
ERR1540597,none
ERR1540598,none
ERR1540599,none
ERR1540600,none
ERR1540601,none
ERR1540602,none
ERR1540603,none
ERR1540604,none
ERR1540605,none
ERR1540606,none
ERR1540607,none
ERR1540608,none
ERR1540609,none
ERR1540610,none
ERR1540611,none
ERR1540612,none
ERR1540613,none
ERR1540614,none
ERR1540615,none
ERR1540616,none
ERR1540617,none
ERR1540618,none
ERR1540619,none
ERR1540620,none
ERR1540621,none
ERR1540622,none
ERR1540623,none
ERR1540624,none
ERR1540625,none
ERR1540626,none
ERR1540627,none
ERR1540628,none
ERR1540629,none
ERR1540630,none
ERR1540631,none
ERR1540632,none
ERR1540633,none
ERR1540634,none
ERR1540635,none
ERR1540636,none
ERR1540637,none
ERR1544913,none
ERR1592382,none
ERR1592383,none
ERR1592384,none
ERR1592385,none
ERR1592386,none
ERR1592387,none
ERR1592388,none
ERR1592389,none
ERR1592390,none
ERR1592391,none
ERR1592392,none
ERR1592393,none
ERR1592394,none
ERR1592395,none
ERR1592396,none
ERR1592397,none
ERR1592398,none
ERR1592399,none
ERR1592400,none
ERR1592401,none
ERR1592402,none
ERR1592403,none
ERR1592404,none
ERR1592405,none
ERR1592406,none
ERR1592407,none
ERR1592408,none
ERR1592409,none
ERR1592410,none
ERR1592411,none
ERR1592412,none
ERR1592413,none
ERR1592414,none
ERR1592415,gyrA_D87N
ERR1592416,none
ERR1592417,none
ERR1592418,none
ERR1592419,none
ERR1592420,none
ERR1592421,none
ERR1592422,none
ERR1592423,none
ERR1592424,none
ERR1592425,none
ERR1592426,none
ERR1592427,none
ERR1592428,none
ERR1592429,none
ERR1592430,none
ERR1592431,none
ERR1592432,none
ERR1592433,gyrA_S83F
ERR1592434,none
ERR1592435,none
ERR1592436,none
ERR1592437,none
ERR1592438,none
ERR1592439,none
ERR1592440,none
ERR1592441,none
ERR1592442,none
ERR1592443,none
ERR1592444,none
ERR1592445,none
ERR1592446,none
ERR1592447,none
ERR1592448,none
ERR1592449,none
ERR1592450,none
ERR1592451,none
ERR1592452,none
ERR1592453,none
ERR1592454,none
ERR1592455,none
ERR1592456,none
ERR1592457,none
ERR1592458,none
ERR1592459,none
ERR1592460,none
ERR1592461,none
ERR1592462,none
ERR1592463,none
ERR1592464,none
ERR1592465,none
ERR1592466,none
ERR1592467,none
ERR1592468,none
ERR1592469,none
ERR1592470,none
ERR1592471,none
ERR1592472,none
ERR1592473,none
ERR1592474,none
ERR1592475,none
ERR1592476,none
ERR1592477,none
ERR1592479,none
ERR1592480,none
ERR1592481,none
ERR1592482,none
ERR1592483,none
ERR1592484,none
ERR1592485,none
ERR1592486,none
ERR1592487,none
ERR1592488,none
ERR1592489,none
ERR1592490,none
ERR1592491,none
ERR1592492,none
ERR1592493,none
ERR1592494,none
ERR1592495,none
ERR1592496,none
ERR1592497,none
ERR1592498,none
ERR1592499,none
ERR1592500,none
ERR1592501,none
ERR1592502,none
ERR1592503,none
ERR1592504,none
ERR1592505,none
ERR1592506,none
ERR1592507,none
ERR1592508,none
ERR1592509,none
ERR1592510,none
ERR1592511,none
ERR1592512,none
ERR1592513,none
ERR1592514,none
ERR1592515,none
ERR1592516,none
ERR1592517,none
ERR1592518,none
ERR1592519,none
ERR1592520,none
ERR1592521,none
ERR1592522,none
ERR1592523,none
ERR1592524,none
ERR1592525,none
ERR1592526,none
ERR1592527,none
ERR1592528,none
ERR1592529,none
ERR1592530,none
ERR1592531,none
ERR1592532,none
ERR1592533,none
ERR1592534,none
ERR1592535,none
ERR1592536,none
ERR1592537,none
ERR1592538,none
ERR1592539,none
ERR1592540,none
ERR1592541,none
ERR1592542,none
ERR1592543,none
ERR1592544,none
ERR1592545,none
ERR1592546,none
ERR1592547,none
ERR1592548,none
ERR1592549,none
ERR1592550,none
ERR1592551,none
ERR1592552,none
ERR1592553,none
ERR1592554,none
ERR1592555,none
ERR1592556,none
ERR1592557,none
ERR1592558,none
ERR1592559,none
ERR1592560,none
ERR1592561,none
ERR1592562,none
ERR1592563,none
ERR1592564,none
ERR1592565,none
ERR1592566,none
ERR1592567,none
ERR1592607,none
ERR1592611,none
ERR164777,none
ERR164779,none
ERR164780,gyrA_D87N
ERR164781,none
ERR164782,none
ERR164783,none
ERR164785,none
ERR164786,none
ERR164787,gyrA_D87N
ERR164788,gyrA_D87N
ERR164789,gyrA_D87N
ERR164790,gyrA_D87N
ERR164791,gyrA_D87N
ERR164792,none
ERR164793,gyrA_D87N
ERR164794,gyrA_D87N
ERR164795,gyrA_D87N
ERR164796,gyrA_D87N
ERR164797,none
ERR164798,gyrA_D87N
ERR164800,none
ERR164801,none
ERR164802,none
ERR164803,none
ERR164804,none
ERR164805,none
ERR164806,none
ERR164807,none
ERR164808,none
ERR164809,none
ERR164810,none
ERR164811,none
ERR164812,none
ERR164813,none
ERR164814,none
ERR164815,none
ERR164817,none
ERR164818,none
ERR164819,none
ERR164822,none
ERR164823,none
ERR164824,gyrA_D87N
ERR164825,gyrA_D87N
ERR164826,none
ERR170577,none
ERR170578,none
ERR170579,none
ERR170580,none
ERR170581,none
ERR170582,none
ERR170583,none
ERR170584,none
ERR170585,none
ERR170586,none
ERR170587,none
ERR170588,none
ERR170590,none
ERR170591,none
ERR170592,none
ERR170593,none
ERR170594,none
ERR170595,none
ERR170596,none
ERR170597,none
ERR170598,none
ERR170599,none
ERR170600,none
ERR170601,none
ERR170602,none
ERR170603,none
ERR170604,none
ERR170605,none
ERR170606,none
ERR170607,none
ERR170608,none
ERR170609,none
ERR170610,none
ERR170611,none
ERR170612,none
ERR170613,none
ERR170614,none
ERR170615,none
ERR170616,none
ERR170617,none
ERR170618,none
ERR170619,none
ERR170620,none
ERR170621,none
ERR170622,none
ERR170623,none
ERR170624,none
ERR170625,none
ERR170626,none
ERR170627,none
ERR170628,none
ERR170629,none
ERR170630,none
ERR170631,none
ERR170632,none
ERR170633,none
ERR170634,none
ERR170635,none
ERR170636,none
ERR170637,none
ERR170638,none
ERR170639,none
ERR170640,none
ERR170641,none
ERR170642,none
ERR170643,none
ERR170644,none
ERR170645,none
ERR170646,none
ERR170647,none
ERR170648,none
ERR170649,none
ERR170650,none
ERR170651,none
ERR170652,none
ERR170653,none
ERR170654,none
ERR170655,none
ERR170656,none
ERR170657,none
ERR170658,none
ERR170659,none
ERR170660,none
ERR170661,none
ERR170662,none
ERR170663,none
ERR170664,none
ERR170665,none
ERR170666,none
ERR170667,none
ERR170668,none
ERR170669,none
ERR170670,none
ERR170671,none
ERR170672,none
ERR1759066,none
ERR1759183,none
ERR1759206,gyrA_S83Y
ERR1759212,none
ERR1797549,none
ERR1797554,none
ERR1797556,none
ERR1802048,none
ERR1802395,none
ERR1802397,none
ERR1802428,none
ERR1802430,none
ERR1802432,none
ERR1802433,none
ERR1802434,none
ERR1802435,none
ERR1802436,none
ERR1802437,none
ERR1802443,none
ERR1802446,none
ERR1802486,none
ERR1802489,none
ERR1802493,none
ERR1806841,none
ERR1806842,none
ERR1806844,none
ERR1806846,none
ERR1806847,none
ERR1806848,none
ERR1806850,none
ERR1810356,none
ERR1810362,none
ERR1815492,none
ERR1815496,none
ERR1815499,none
ERR1815500,none
ERR1815501,none
ERR1815528,none
ERR1815530,none
ERR1815535,none
ERR1815670,none
ERR1815672,none
ERR1815675,none
ERR1815681,none
ERR1815682,none
ERR1815745,none
ERR1815746,none
ERR1815748,none
ERR1815751,none
ERR1815753,none
ERR1816624,none
ERR1816625,none
ERR1816629,gyrA_D87N
ERR1816630,none
ERR1816633,none
ERR1816635,none
ERR1816636,none
ERR1816685,none
ERR1816686,none
ERR1816700,none
ERR1816861,none
ERR1816866,none
ERR1817109,none
ERR1817113,none
ERR1817122,none
ERR1817123,none
ERR1817146,qnrA1
ERR1817150,none
ERR1817212,none
ERR1817214,none
ERR1817216,none
ERR1817223,none
ERR1817331,none
ERR1817394,none
ERR1817398,none
ERR1817505,none
ERR1817506,none
ERR1817513,qnrB19
ERR1817519,none
ERR1817523,none
ERR1817531,none
ERR1817532,none
ERR1817536,none
ERR1818146,none
ERR1818147,none
ERR1818148,none
ERR1818151,none
ERR1823514,none
ERR1823517,gyrA_D87N
ERR1823518,none
ERR1823522,none
ERR1823523,none
ERR1823825,none
ERR1823826,gyrA_D87Y
ERR1823827,none
ERR1823828,none
ERR1823829,none
ERR1823830,none
ERR1823831,none
ERR1823927,none
ERR1823928,none
ERR1823933,gyrA_D87Y
ERR1824568,none
ERR1824569,none
ERR1824576,none
ERR1824578,none
ERR1828944,none
ERR1828948,qnrS1
ERR1828951,none
ERR1828952,none
ERR1829772,none
ERR1829774,none
ERR1829778,none
ERR1829779,none
ERR1830495,none
ERR1832469,none
ERR1832471,none
ERR1837624,none
ERR1837626,none
ERR1840425,gyrA_S83F
ERR1840426,none
ERR1840428,none
ERR1856056,none
ERR1856057,none
ERR1856058,none
ERR1856059,none
ERR1856060,none
ERR1856061,none
ERR1856062,none
ERR1856063,none
ERR1856064,none
ERR1856065,none
ERR1856066,none
ERR1856067,none
ERR1856068,none
ERR1856069,none
ERR1856070,none
ERR1856071,none
ERR1856072,none
ERR1856073,none
ERR1856074,none
ERR1856075,none
ERR1856076,none
ERR1856077,none
ERR1856078,none
ERR1856079,none
ERR1856080,none
ERR1856081,none
ERR1856082,none
ERR1856083,none
ERR1856084,none
ERR1856085,none
ERR1856086,none
ERR1856087,none
ERR1856088,none
ERR1856089,none
ERR1856090,none
ERR1856091,none
ERR1856092,none
ERR1856093,none
ERR1856094,none
ERR1856095,none
ERR1856096,none
ERR1856097,none
ERR1856098,none
ERR1856099,none
ERR1856100,none
ERR1856101,none
ERR1856102,none
ERR1856103,none
ERR1856104,none
ERR1856105,none
ERR1856106,none
ERR1856107,none
ERR1856108,none
ERR1856109,none
ERR1856110,none
ERR1856111,none
ERR1856112,none
ERR1856113,none
ERR1856114,none
ERR1856115,none
ERR1856116,none
ERR1856117,none
ERR1856118,none
ERR1856119,none
ERR1856120,none
ERR1856121,none
ERR1856122,none
ERR1856123,none
ERR1856124,none
ERR1856125,none
ERR1856126,none
ERR1856127,none
ERR1856128,none
ERR1856129,none
ERR1856130,none
ERR1856131,none
ERR1856132,none
ERR1856133,none
ERR1857447,none
ERR1857448,none
ERR1857450,none
ERR1857451,none
ERR1857523,none
ERR1857525,none
ERR1865336,none
ERR1890404,none
ERR1890408,none
ERR1910827,gyrA_D87N
ERR1912183,none
ERR1912184,gyrA_D87N
ERR1912185,gyrA_S83F
ERR1912186,none
ERR1912187,none
ERR1912188,none
ERR1912189,none
ERR1912190,none
ERR1912191,none
ERR1912192,none
ERR1912193,none
ERR1912194,none
ERR1912195,none
ERR1912196,none
ERR1912197,none
ERR1912198,none
ERR1912199,none
ERR1912200,none
ERR1912201,none
ERR1912202,none
ERR1912203,none
ERR1912204,none
ERR1912205,none
ERR1912206,none
ERR1912207,none
ERR1912208,none
ERR1912209,none
ERR1912210,none
ERR1912211,none
ERR1912212,none
ERR1912213,none
ERR1912214,none
ERR1912215,none
ERR1912216,none
ERR1912218,none
ERR1912219,none
ERR1912220,none
ERR1912221,gyrA_S83F
ERR1912222,none
ERR1912223,none
ERR1912224,none
ERR1912225,none
ERR1912226,none
ERR1912227,gyrA_S83F
ERR1912228,none
ERR1912229,none
ERR1912230,none
ERR1912231,none
ERR1912232,none
ERR1912233,none
ERR1912234,none
ERR1912235,none
ERR1912236,none
ERR1912237,none
ERR1912238,none
ERR1948294,none
ERR1948295,qnrS1
ERR1950104,none
ERR1988384,none
ERR1988386,none
ERR2001744,none
ERR2001745,none
ERR2001748,none
ERR2001754,none
ERR2003327,none
ERR2003328,none
ERR2003329,none
ERR2003330,none
ERR2003331,none
ERR2003332,none
ERR2003333,none
ERR2003334,none
ERR2003335,none
ERR2003336,none
ERR2003338,none
ERR2003339,none
ERR2003340,none
ERR2003341,gyrA_D87G
ERR2003342,none
ERR2003343,none
ERR2003344,none
ERR2003345,none
ERR2003346,none
ERR2003347,none
ERR2003348,none
ERR2003349,none
ERR2003350,none
ERR2003351,none
ERR2003352,none
ERR2003353,none
ERR2003354,none
ERR2003355,none
ERR2003356,none
ERR2003357,none
ERR2003358,none
ERR2003359,none
ERR2003360,none
ERR2003361,none
ERR2003362,none
ERR2003363,none
ERR2003364,none
ERR2003365,none
ERR2020717,qnrB19
ERR2023105,none
ERR2023110,none
ERR2023158,none
ERR2023169,none
ERR2030249,none
ERR2030252,none
ERR2030254,none
ERR2030255,none
ERR2030256,none
ERR2043662,none
ERR2099818,none
ERR2099819,none
ERR2099820,none
ERR2099822,none
ERR2099823,none
ERR2114795,none
ERR2114796,qnrS1
ERR2114800,none
ERR2114802,none
ERR2115641,none
ERR2115643,none
ERR2115644,none
ERR2115651,gyrA_D87N
ERR2115653,none
ERR2115656,none
ERR2116062,none
ERR2116065,none
ERR2116067,none
ERR2116068,none
ERR2116069,none
ERR2116714,none
ERR2116715,none
ERR2116717,none
ERR2116718,none
ERR211838,none
ERR211839,none
ERR211840,none
ERR211841,none
ERR211842,none
ERR211843,none
ERR211844,none
ERR211845,none
ERR211846,none
ERR211847,none
ERR211848,none
ERR211849,none
ERR211850,none
ERR211851,none
ERR211852,none
ERR211853,none
ERR211854,none
ERR211855,none
ERR211856,none
ERR211857,none
ERR211858,none
ERR211859,none
ERR211860,none
ERR211861,none
ERR211862,none
ERR211863,none
ERR211864,none
ERR211865,none
ERR211866,none
ERR211867,none
ERR211868,none
ERR211869,none
ERR211870,none
ERR211871,none
ERR211872,none
ERR211873,none
ERR211874,none
ERR211875,none
ERR211876,none
ERR211877,none
ERR211878,none
ERR211879,none
ERR211881,none
ERR211882,none
ERR211883,none
ERR211884,none
ERR211885,none
ERR211886,none
ERR211887,none
ERR211888,none
ERR2123623,none
ERR2124052,none
ERR2124054,none
ERR2145450,none
ERR2145451,none
ERR2145452,none
ERR2145453,none
ERR2145454,none
ERR2145455,none
ERR2145456,none
ERR2145457,none
ERR2145458,none
ERR2145459,none
ERR2145460,none
ERR2145461,none
ERR2145462,none
ERR2145463,none
ERR2145464,none
ERR2145465,none
ERR2145466,none
ERR2145467,none
ERR2145468,none
ERR2145469,none
ERR2145471,none
ERR2145472,none
ERR2145473,none
ERR2145474,none
ERR2145475,none
ERR2145476,none
ERR2173651,none
ERR2173652,none
ERR2173654,none
ERR2173661,none
ERR2173663,none
ERR2173668,none
ERR2173669,none
ERR2173676,none
ERR2173685,none
ERR2173686,none
ERR2173688,none
ERR2173689,none
ERR2173690,none
ERR2173696,none
ERR2173701,none
ERR2174765,none
ERR2174767,none
ERR2174768,none
ERR2174774,gyrA_S83F
ERR2174775,none
ERR2174776,gyrA_D87N
ERR2174777,none
ERR2174779,none
ERR2174780,none
ERR2174781,none
ERR2174782,none
ERR2174785,none
ERR2174786,none
ERR2174788,none
ERR2174789,none
ERR2174790,none
ERR2174791,none
ERR2174792,gyrA_D87N
ERR2174793,none
ERR2174794,none
ERR2174795,none
ERR2174796,none
ERR2174797,none
ERR2174799,none
ERR2174800,none
ERR2174801,none
ERR2174803,none
ERR2174804,none
ERR2174805,none
ERR2174808,none
ERR2174809,gyrA_D87N
ERR2174811,none
ERR2174812,none
ERR2174813,none
ERR2174814,none
ERR2174815,none
ERR2174816,none
ERR2174817,none
ERR2174818,gyrA_S83F
ERR2174819,none
ERR2174820,none
ERR2174821,none
ERR2174823,none
ERR2174824,none
ERR2174825,none
ERR2174826,none
ERR2174827,none
ERR2174828,none
ERR2174829,none
ERR2174830,none
ERR2174831,none
ERR2174832,none
ERR2174833,none
ERR2174834,none
ERR2174835,none
ERR2174838,none
ERR2174839,none
ERR2174840,gyrA_D87N
ERR2174841,none
ERR2174842,none
ERR2174843,none
ERR2174844,none
ERR2174845,none
ERR2174846,none
ERR2174847,none
ERR2174848,none
ERR2174849,none
ERR2174850,none
ERR2174851,none
ERR2174852,none
ERR2174853,none
ERR2174854,none
ERR2174855,none
ERR2174856,none
ERR2174857,none
ERR2174859,none
ERR2174860,qnrB19
ERR2174861,none
ERR2174862,none
ERR2174863,none
ERR2174864,none
ERR2174865,none
ERR2174866,none
ERR2174867,none
ERR2174868,none
ERR2174869,none
ERR2174870,none
ERR2174871,none
ERR2174872,none
ERR2174873,none
ERR2174874,none
ERR2174875,none
ERR2174876,none
ERR2174877,gyrA_S83Y
ERR2174878,none
ERR2174879,none
ERR2174880,none
ERR2174881,none
ERR2174882,none
ERR2174883,none
ERR2174884,none
ERR2174885,none
ERR2174886,none
ERR2174887,none
ERR2174888,none
ERR2174889,none
ERR2174890,none
ERR2174891,none
ERR2174892,none
ERR2174893,none
ERR2174894,none
ERR2174895,none
ERR2174896,none
ERR2174897,none
ERR2174898,none
ERR2174901,none
ERR2174902,none
ERR2174903,none
ERR2174904,none
ERR2174905,gyrA_D87N
ERR2174906,none
ERR2174907,none
ERR2174908,none
ERR2174909,none
ERR2174910,none
ERR2174912,none
ERR2174913,none
ERR2174914,none
ERR2174915,none
ERR2174916,none
ERR2174917,none
ERR2174918,none
ERR2174919,none
ERR2174920,none
ERR2177196,none
ERR2177197,none
ERR2177198,none
ERR2177199,none
ERR2177200,none
ERR2177202,none
ERR2177203,none
ERR2177204,none
ERR2177205,none
ERR2177206,none
ERR2177207,none
ERR2177208,none
ERR2177209,none
ERR2177210,none
ERR2177211,none
ERR2177212,none
ERR2177213,none
ERR2177214,none
ERR2177215,none
ERR2177216,none
ERR2177217,none
ERR2177218,none
ERR2177219,none
ERR2177220,none
ERR2177221,gyrA_D87N
ERR2177222,none
ERR2177223,none
ERR2177224,none
ERR2177225,none
ERR2177226,none
ERR2177227,none
ERR2177228,none
ERR2177229,none
ERR2177230,none
ERR2177231,none
ERR2177232,none
ERR2177233,none
ERR2177234,none
ERR2177235,none
ERR2177236,none
ERR2177237,none
ERR2177238,none
ERR2177239,none
ERR2177240,none
ERR2177241,none
ERR2177242,none
ERR2177243,none
ERR2193125,none
ERR2193128,none
ERR2193137,none
ERR2193143,none
ERR2193174,none
ERR2193176,none
ERR2193181,none
ERR2193183,none
ERR2193184,none
ERR2193186,none
ERR2193189,none
ERR2193190,none
ERR2193191,none
ERR2193192,none
ERR2202497,none
ERR2202498,none
ERR2202499,none
ERR2202501,gyrA_D87N
ERR2202502,gyrA_D87N
ERR2202503,none
ERR2202504,qnrS
ERR2202505,none
ERR2202506,none
ERR2202507,none
ERR2202508,none
ERR2202510,none
ERR2202511,none
ERR2202512,none
ERR2202513,none
ERR2202514,none
ERR2202515,none
ERR2202516,none
ERR2202517,none
ERR2202518,none
ERR2202519,none
ERR2202520,none
ERR2202521,none
ERR2202522,none
ERR2202523,none
ERR2202524,none
ERR2202525,none
ERR2202526,none
ERR2202527,none
ERR2202528,gyrA_S83F
ERR2202529,none
ERR2202530,none
ERR2202531,none
ERR2202532,none
ERR2202533,none
ERR2202535,none
ERR2202536,qnrB2
ERR2202537,none
ERR2202538,qnrB2
ERR2202539,none
ERR2202540,none
ERR2202541,qnrS1
ERR2202542,none
ERR2202543,none
ERR2202544,none
ERR2202545,none
ERR2202546,none
ERR2202547,none
ERR2202548,none
ERR2202549,none
ERR2202550,none
ERR2202551,none
ERR2202552,none
ERR2202553,none
ERR2202554,gyrB_E466D
ERR2202556,none
ERR2202557,none
ERR2202558,none
ERR2202559,none
ERR2202560,none
ERR2202561,none
ERR2202562,none
ERR2202563,none
ERR2202564,none
ERR2202565,none
ERR2202566,none
ERR2202567,none
ERR2202568,none
ERR2204200,none
ERR2204206,none
ERR2204207,none
ERR2204212,none
ERR2204213,none
ERR2204214,qnrS1
ERR2204215,none
ERR2204217,none
ERR2204221,none
ERR2204225,none
ERR2205702,none
ERR2205703,none
ERR2205704,none
ERR2205705,none
ERR2205706,none
ERR2205707,none
ERR2205708,none
ERR2205709,none
ERR2205710,none
ERR2205711,none
ERR2205712,none
ERR2205713,none
ERR2205714,none
ERR2205715,none
ERR2205716,none
ERR2205717,none
ERR2205718,none
ERR2205720,none
ERR2205721,gyrA_S83F
ERR2205722,none
ERR2205723,none
ERR2205724,none
ERR2205725,none
ERR2205726,none
ERR2205727,none
ERR2205728,none
ERR2205729,none
ERR2205730,none
ERR2205731,none
ERR2205732,none
ERR2205733,none
ERR2205734,none
ERR2205735,gyrA_S83Y
ERR2205736,none
ERR2205737,none
ERR2205738,none
ERR2205739,none
ERR2205740,none
ERR2205741,none
ERR2205742,none
ERR2208322,none
ERR2208323,none
ERR2208324,none
ERR2208325,none
ERR2208326,none
ERR2208327,none
ERR2208328,none
ERR2208329,none
ERR2208330,none
ERR2208331,none
ERR2208332,none
