experiment_accession,run_accession,accession,sample_accession,secondary_sample_accession,instrument_platform,instrument_model,library_name,library_layout,nominal_length,library_strategy,library_source,library_selection,read_count,base_count,center_name,fastq_bytes,cell_line,cell_type,collected_by,collection_date,country,description,environmental_sample,first_public,germline,identified_by,isolation_source,location,serotype,serovar,sex,submitted_sex,sub_species,tissue_type,tax_id,scientific_name,sample_alias,center_name_1,sampling_campaign,sampling_site,sampling_platform,protocol_label,project_name,host,host_tax_id,host_status,host_sex,submitted_host_sex,host_body_site,host_gravidity,investigation_type,experimental_factor,sample_collection,sequencing_method,sample_title,sample_material,taxonomic_identity_marker,completeness_score,contamination_score,binning_software,lat,lon,sample_capture_status,collection_date_submitted,submission_tool
SRX762449,SRR1655983,SAMN03197751,SAMN03197751,SRS746962,ILLUMINA,Illumina HiSeq 2000,552_HINF,PAIRED,,WGS,GENOMIC,RANDOM,324593.0,62542410.0,University of Washington,27043026;26906009,,,UW clinical laboratory,,USA: WA,Illumina HiSeq 2000 sequencing; Whole genome seq of Haemophilus influenzae clinical isolate: Sample 552_HINF,False,2015-07-08,False,,,,,,,,,,727,Haemophilus influenzae,552_HINF,University of Washington,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|stevesal on 2015-07-08; Haemophilus influenzae,,,,,,,,,,
ERX3332243,ERR3306194,SAMEA5379852,SAMEA5379852,ERS3186440,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,155093.0,64209099.0,University of Southampton,23796692;26171750,,,,2012-05-01,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,NP,,NTHi,NTHi,,,,,727,Haemophilus influenzae,763,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,763,,,,,,,,,2012-05-01,
ERX2579080,ERR2560722,SAMEA4643465,SAMEA4643465,ERS2464114,ILLUMINA,Illumina MiSeq,,PAIRED,250.0,WGS,GENOMIC,RANDOM,155953.0,64445057.0,NATIONAL INSTITUTE OF HEALTH DR. RICARDO JORGE,22181119;25180014,,,,,Portugal,Illumina MiSeq paired end sequencing,False,2018-05-16,False,,,,b,b,,,,,727,Haemophilus influenzae,PTHi-9817,NATIONAL INSTITUTE OF HEALTH DR. RICARDO JORGE,,,,,,,,,,,,,,,,,PTHi-9817,,,,,,,,,,
ERX3332777,ERR3306731,SAMEA5380383,SAMEA5380383,ERS3186970,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,176004.0,65139176.0,University of Southampton,25386879;19065141,,,,2012-04-17,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1304,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1304,,,,,,,,,2012-04-17,
ERX3332775,ERR3306729,SAMEA5380381,SAMEA5380381,ERS3186968,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,180785.0,65763232.0,University of Southampton,26027054;19590001,,,,2012-04-16,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1302,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1302,,,,,,,,,2012-04-16,
ERX3332126,ERR3306076,SAMEA5379735,SAMEA5379735,ERS3186323,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,230406.0,71642629.0,University of Southampton,25234618;27155912,,,,2012-04-20,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,645,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,645,,,,,,,,,2012-04-20,
SRX12367436,SRR16080766,SAMN21850682,SAMN21850682,SRS10338605,ILLUMINA,Illumina MiSeq,465118_WGS,PAIRED,,WGS,GENOMIC,RANDOM,201186.0,73657706.0,SUB10407804,23221519;23553801,,,Norwegian Institute of Public Health,2017-01-01,Norway,Illumina MiSeq sequencing; WGS of 465118,False,2021-10-01,False,,blood,,,,,,,,727,Haemophilus influenzae,465118,SUB10407804,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|lur5 on 2021-09-29; Haemophilus influenzae,,,,,,,,,2017,
ERX3332816,ERR3306770,SAMEA5380422,SAMEA5380422,ERS3187009,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,163030.0,74571322.0,University of Southampton,25091949;29393243,,,,2012-02-17,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1347,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1347,,,,,,,,,2012-02-17,
ERX3332696,ERR3306650,SAMEA5380302,SAMEA5380302,ERS3186889,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,177178.0,74928725.0,University of Southampton,27488966;28757504,,,,2012-12-18,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1217,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1217,,,,,,,,,2012-12-18,
ERX3291400,ERR3264756,SAMEA5379511,SAMEA5379511,ERS3186099,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,188021.0,74966445.0,University of Southampton,28346354;31236631,,,,2011-09-14,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,418,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,418,,,,,,,,,2011-09-14,
ERX5688656,ERR6049676,SAMEA8912184,SAMEA8912184,ERS6595067,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,150.0,WGS,GENOMIC,PCR,537308.0,75454171.0,"IDIBELL, Bellvitge University Hospital",31874606;32813559,,,National Reference Centre of the Netherlands,2015-01-01,Netherlands,Illumina MiSeq paired end sequencing,False,2021-09-15,False,,Blood,,,,,,,,727,Haemophilus influenzae,NL-CNR-HI2150013,"IDIBELL, Bellvitge University Hospital",,,,,,Homo sapiens,9606.0,,,,,,,,,,Haemophilus influenzae serotype f,,,,,,,,,2015,
ERX3332793,ERR3306747,SAMEA5380399,SAMEA5380399,ERS3186986,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,166761.0,75726792.0,University of Southampton,27916248;30848207,,,,2012-04-16,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1321,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1321,,,,,,,,,2012-04-16,
ERX3291388,ERR3264744,SAMEA5379499,SAMEA5379499,ERS3186087,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,197415.0,76546780.0,University of Southampton,30347613;31971782,,,,2011-11-04,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,406,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,406,,,,,,,,,2011-11-04,
ERX3332588,ERR3306542,SAMEA5380194,SAMEA5380194,ERS3186781,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,184577.0,77971014.0,University of Southampton,28380994;29931125,,,,2012-08-23,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1106,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1106,,,,,,,,,2012-08-23,
ERX3332792,ERR3306746,SAMEA5380398,SAMEA5380398,ERS3186985,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,173405.0,77980161.0,University of Southampton,28730148;31858148,,,,2012-04-11,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1320,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1320,,,,,,,,,2012-04-11,
ERX3291119,ERR3264475,SAMEA5379229,SAMEA5379229,ERS3185818,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,199075.0,78436951.0,University of Southampton,28144972;30767296,,,,2012-01-13,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,136,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,136,,,,,,,,,2012-01-13,
ERX3332613,ERR3306567,SAMEA5380219,SAMEA5380219,ERS3186806,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,181859.0,78881194.0,University of Southampton,27670388;32304150,,,,2012-06-19,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1131,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1131,,,,,,,,,2012-06-19,
ERX3291166,ERR3264522,SAMEA5379276,SAMEA5379276,ERS3185865,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,195354.0,79332814.0,University of Southampton,27667159;30757924,,,,2012-01-13,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,183,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,183,,,,,,,,,2012-01-13,
ERX3291335,ERR3264691,SAMEA5379446,SAMEA5379446,ERS3186034,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,249219.0,80351910.0,University of Southampton,34383337;35761845,,,,2011-11-04,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,352,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,352,,,,,,,,,2011-11-04,
ERX3291466,ERR3264822,SAMEA5380436,SAMEA5380436,ERS3187023,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,175013.0,80791630.0,University of Southampton,27563246;32359676,,,,2011-10-25,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1361,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1361,,,,,,,,,2011-10-25,
ERX2579048,ERR2560727,SAMEA4643433,SAMEA4643433,ERS2464082,ILLUMINA,Illumina MiSeq,,PAIRED,250.0,WGS,GENOMIC,RANDOM,179488.0,80977445.0,NATIONAL INSTITUTE OF HEALTH DR. RICARDO JORGE,27761633;32016255,,,,,Portugal,Illumina MiSeq paired end sequencing,False,2018-05-16,False,,,,b,b,,,,,727,Haemophilus influenzae,PTHi-2048,NATIONAL INSTITUTE OF HEALTH DR. RICARDO JORGE,,,,,,,,,,,,,,,,,PTHi-2048,,,,,,,,,,
SRX762430,SRR1655964,SAMN03197732,SAMN03197732,SRS746940,ILLUMINA,Illumina HiSeq 2000,536_HINF,PAIRED,,WGS,GENOMIC,RANDOM,428053.0,81557289.0,University of Washington,35418184;35238126,,,UW clinical laboratory,,USA: WA,Illumina HiSeq 2000 sequencing; Whole genome seq of Haemophilus influenzae clinical isolate: Sample 536_HINF,False,2015-07-08,False,,,,,,,,,,727,Haemophilus influenzae,536_HINF,University of Washington,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|stevesal on 2015-07-08; Haemophilus influenzae,,,,,,,,,,
ERX3332794,ERR3306748,SAMEA5380400,SAMEA5380400,ERS3186987,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,214959.0,82331840.0,University of Southampton,33212747;23664987,,,,2012-07-09,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1322,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1322,,,,,,,,,2012-07-09,
SRX12367438,SRR16080765,SAMN21850976,SAMN21850976,SRS10338607,ILLUMINA,Illumina MiSeq,UK399617_WGS,PAIRED,,WGS,GENOMIC,RANDOM,414401.0,82584030.0,SUB10407804,21995077;23651773,,,"Respiratory and Vaccine Preventable Bacterial Reference Unit, Public Health England, London, UK",2008-01-01,United Kingdom,Illumina MiSeq sequencing; WGS of UK399617,False,2021-10-01,False,,blood,,,,,,,,727,Haemophilus influenzae,UK399617,SUB10407804,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|lur5 on 2021-09-29; Haemophilus influenzae,,,,,,,,,2008,
ERX2579083,ERR2560729,SAMEA4643468,SAMEA4643468,ERS2464117,ILLUMINA,Illumina MiSeq,,PAIRED,250.0,WGS,GENOMIC,RANDOM,187657.0,83367034.0,NATIONAL INSTITUTE OF HEALTH DR. RICARDO JORGE,28620415;33338084,,,,,Portugal,Illumina MiSeq paired end sequencing,False,2018-05-16,False,,,,d,d,,,,,727,Haemophilus influenzae,PTHi-10983,NATIONAL INSTITUTE OF HEALTH DR. RICARDO JORGE,,,,,,,,,,,,,,,,,PTHi-10983,,,,,,,,,,
ERX5688660,ERR6049680,SAMEA8912188,SAMEA8912188,ERS6595071,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,150.0,WGS,GENOMIC,PCR,620472.0,84027165.0,"IDIBELL, Bellvitge University Hospital",31688060;32770288,,,National Reference Centre of the Netherlands,2015-01-01,Netherlands,Illumina MiSeq paired end sequencing,False,2021-09-15,False,,Blood,,,,,,,,727,Haemophilus influenzae,NL-CNR-HI2150585,"IDIBELL, Bellvitge University Hospital",,,,,,Homo sapiens,9606.0,,,,,,,,,,Haemophilus influenzae serotype f,,,,,,,,,2015,
ERX5688661,ERR6049681,SAMEA8912189,SAMEA8912189,ERS6595072,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,150.0,WGS,GENOMIC,PCR,573034.0,84368295.0,"IDIBELL, Bellvitge University Hospital",32949624;33201504,,,National Reference Centre of the Netherlands,2015-01-01,Netherlands,Illumina MiSeq paired end sequencing,False,2021-09-15,False,,Blood,,,,,,,,727,Haemophilus influenzae,NL-CNR-HI2150741,"IDIBELL, Bellvitge University Hospital",,,,,,Homo sapiens,9606.0,,,,,,,,,,Haemophilus influenzae serotype f,,,,,,,,,2015,
ERX3332822,ERR3306776,SAMEA5380428,SAMEA5380428,ERS3187015,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,184307.0,85817665.0,University of Southampton,29564572;34400794,,,,2012-02-17,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1353,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1353,,,,,,,,,2012-02-17,
ERX5688633,ERR6049653,SAMEA8912161,SAMEA8912161,ERS6595044,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,150.0,WGS,GENOMIC,PCR,647078.0,86011650.0,"IDIBELL, Bellvitge University Hospital",33035685;34559144,,,"Microbiology Department, Hospital Universitari de Bellvitge",2010-01-01,Spain,Illumina MiSeq paired end sequencing,False,2021-09-15,False,,Blood,,,,,,,,727,Haemophilus influenzae,ES-HUB-HI6139,"IDIBELL, Bellvitge University Hospital",,,,,,Homo sapiens,9606.0,,,,,,,,,,Haemophilus influenzae serotype f,,,,,,,,,2010,
ERX2260786,ERR2206428,SAMEA104408360,SAMEA104408360,ERS2026302,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,188036.0,86376940.0,University of Southampton,27911748;32957231,,,,2010-02-01,United Kingdom,Illumina MiSeq paired end sequencing,False,2018-01-28,False,,nasopharynx,50.93292 N 1.434724 W,non-typeable,non-typeable,,,,,727,Haemophilus influenzae,4378,University of Southampton,,,,,,homo sapien,9606.0,healthy,,,,,,,,,4378,,,,,,50.93292,-1.434724,,2010-02,
ERX3332075,ERR3306025,SAMEA5379684,SAMEA5379684,ERS3186272,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,200679.0,86914081.0,University of Southampton,33921291;35900384,,,,2012-05-21,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,594,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,594,,,,,,,,,2012-05-21,
ERX2579081,ERR2560750,SAMEA4643466,SAMEA4643466,ERS2464115,ILLUMINA,Illumina MiSeq,,PAIRED,250.0,WGS,GENOMIC,RANDOM,200774.0,87302227.0,NATIONAL INSTITUTE OF HEALTH DR. RICARDO JORGE,29744096;34591530,,,,,Portugal,Illumina MiSeq paired end sequencing,False,2018-05-16,False,,,,NT,NT,,,,,727,Haemophilus influenzae,PTHi-10167,NATIONAL INSTITUTE OF HEALTH DR. RICARDO JORGE,,,,,,,,,,,,,,,,,PTHi-10167,,,,,,,,,,
SRX6098332,SRR9331819,SAMN11658700,SAMN11658700,SRS4998864,ILLUMINA,Illumina MiSeq,Strain 112,PAIRED,,WGS,GENOMIC,RANDOM,145399.0,87406577.0,,31842122;36734557,,,,2018-01-01,Canada,Illumina MiSeq sequencing,False,2020-07-01,False,,,,a,a,,,,,727,Haemophilus influenzae,Strain 112,,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|mshuel on 2020-06-02; Haemophilus influenzae,,,,,,,,,2018,
ERX3291543,ERR3264899,SAMEA5380513,SAMEA5380513,ERS3187100,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,192521.0,87622046.0,University of Southampton,32441823;35507868,,,,2012-05-17,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,NP,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1439,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1439,,,,,,,,,2012-05-17,
ERX3332758,ERR3306712,SAMEA5380364,SAMEA5380364,ERS3186951,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,229697.0,87989577.0,University of Southampton,31081518;35721081,,,,2012-04-17,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1280,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1280,,,,,,,,,2012-04-17,
ERX3332748,ERR3306702,SAMEA5380354,SAMEA5380354,ERS3186941,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,207993.0,88034604.0,University of Southampton,30745935;36446589,,,,2012-04-11,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1270,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1270,,,,,,,,,2012-04-11,
ERX3332167,ERR3306117,SAMEA5379776,SAMEA5379776,ERS3186364,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,225743.0,89197255.0,University of Southampton,32010132;34868524,,,,2012-03-21,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,687,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,687,,,,,,,,,2012-03-21,
ERX3332647,ERR3306601,SAMEA5380253,SAMEA5380253,ERS3186840,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,300.0,WGS,GENOMIC,unspecified,227139.0,89491654.0,University of Southampton,30377402;36746569,,,,2012-06-19,United Kingdom,Illumina MiSeq paired end sequencing,False,2019-10-21,False,,sputum,,NTHi,NTHi,,,,,727,Haemophilus influenzae,1167,University of Southampton,,,,,,homo sapiens,9606.0,diseased,,,,,,,,,1167,,,,,,,,,2012-06-19,
SRX12367437,SRR16080769,SAMN21850710,SAMN21850710,SRS10338606,ILLUMINA,Illumina MiSeq,FRLNP30464_WGS,PAIRED,,WGS,GENOMIC,RANDOM,298416.0,89648250.0,SUB10407804,24289206;24662266,,,"Center for Infection and Immunity, Lille, France",2010-01-01,France,Illumina MiSeq sequencing; WGS of FRLNP30464,False,2021-10-01,False,,blood,,,,,,,,727,Haemophilus influenzae,FRLNP30464,SUB10407804,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|lur5 on 2021-09-29; Haemophilus influenzae,,,,,,,,,2010,
