experiment_accession,run_accession,accession,sample_accession,secondary_sample_accession,instrument_platform,instrument_model,library_name,library_layout,nominal_length,library_strategy,library_source,library_selection,read_count,base_count,center_name,fastq_bytes,cell_line,cell_type,collected_by,collection_date,country,description,environmental_sample,first_public,germline,identified_by,isolation_source,location,serotype,serovar,sex,submitted_sex,sub_species,tissue_type,tax_id,scientific_name,sample_alias,center_name_1,sampling_campaign,sampling_site,sampling_platform,protocol_label,project_name,host,host_tax_id,host_status,host_sex,submitted_host_sex,host_body_site,host_gravidity,investigation_type,experimental_factor,sample_collection,sequencing_method,sample_title,sample_material,taxonomic_identity_marker,completeness_score,contamination_score,binning_software,lat,lon,sample_capture_status,collection_date_submitted,submission_tool
SRX2558686,SRR5253112,SAMN06330158,SAMN06330158,SRS1975924,ILLUMINA,Illumina HiSeq 2500,KP0856,PAIRED,,WGS,GENOMIC,RANDOM,444386.0,111096500.0,,51240430;50089715,,,Anne-Catrin Uhlemann,2014-01-01,USA:New York City,Illumina HiSeq 2500 sequencing; Genomic analysis of diversification and resistance of the predominant clinical Enterobacter cloacae clones in NYC,False,2017-06-01,False,,blood,40.72 N 73.94 W,,,,,,,550,Enterobacter cloacae,KP0856,,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|wangzheng1984v@gmail.com on 2017-11-08; Enterobacter cloacae,,,,,,40.72,-73.94,,2014,
SRX762171,SRR1655705,SAMN03197473,SAMN03197473,SRS746681,ILLUMINA,Illumina HiSeq 2000,28_ECLO,PAIRED,,WGS,GENOMIC,RANDOM,610574.0,111183864.0,University of Washington,46955838;45049277,,,UW clinical laboratory,,USA: WA,Illumina HiSeq 2000 sequencing; Whole genome seq of Enterobacter cloacae clinical isolate: Sample 28_ECLO,False,2015-07-08,False,,,,,,,,,,1812935,Enterobacter roggenkampii,28_ECLO,University of Washington,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|stevesal on 2015-07-08; Enterobacter cloacae complex 'Hoffmann cluster IV',,,,,,,,,,
SRX10273174,SRR13893428,SAMN18206991,SAMN18206991,SRS8406446,ILLUMINA,Illumina HiSeq 2000,ENCL_176_ill,PAIRED,,WGS,GENOMIC,RANDOM,377057.0,111929530.0,SUB8768147,45435983;51241430,,,Johns Hopkins Hospital,2017-01-01,USA:Baltimore,Illumina HiSeq 2000 sequencing; illumina sequencing of e cloacae: clinical isolate,False,2021-03-12,False,,patient,39.29 N 76.59 W,,,,,,,550,Enterobacter cloacae,ENCL_176,SUB8768147,,,,,,Homo sapiens,9606.0,,,,,,,,,,ENCL_176,,,,,,39.29,-76.59,,2017,
SRX761919,SRR1655453,SAMN03197221,SAMN03197221,SRS746429,ILLUMINA,Illumina HiSeq 2000,1254_ECLO,PAIRED,,WGS,GENOMIC,RANDOM,618480.0,112449039.0,University of Washington,50891753;50219766,,,UW clinical laboratory,,USA: WA,Illumina HiSeq 2000 sequencing; Whole genome seq of Enterobacter cloacae clinical isolate: Sample 1254_ECLO,False,2015-07-08,False,,,,,,,,,,1812935,Enterobacter roggenkampii,1254_ECLO,University of Washington,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|stevesal on 2015-07-08; Enterobacter cloacae complex 'Hoffmann cluster IV',,,,,,,,,,
ERX2173665,ERR2116807,SAMEA104288063,SAMEA104288063,ERS1913041,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,87.0,WGS,GENOMIC,PCR,215579.0,112808884.0,ROBERT KOCH-INSTITUTE,41674012;50967710,,,,2015-08-17,Germany,Illumina MiSeq paired end sequencing,False,2018-03-27,False,,perianal swab,,multilocus sequence type (ST) 815,multilocus sequence type (ST) 815,,,,,336306,Enterobacter cloacae subsp. cloacae,767-15,ROBERT KOCH-INSTITUTE,,,,,,Homo sapiens,9606.0,not provided,,,,,,,,,clinical isolate of E. cloacae,,,,,,,,,2015-08-17,
ERX5400852,ERR5685389,SAMEA8515247,SAMEA8515247,ERS6200045,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,250.0,WGS,GENOMIC,size fractionation,396436.0,113099984.0,CARDIFF UNIVERSITY,40163097;45939454,,,,2016-05-01,Pakistan,Illumina MiSeq paired end sequencing,False,2021-05-31,False,,rectal swab,,,,,,,,550,Enterobacter cloacae,PP-BR663-2,CARDIFF UNIVERSITY,,,,,,human,9606.0,healthy,,,,,,,,,"Maternal and neonatal rectal carriage of beta-lactamases from low- and middle-income countries: prevalence, risk factors and genomes (part of the BARNARDS study).",,,,,,,,,2015-17,
SRX2558652,SRR5253078,SAMN06330192,SAMN06330192,SRS1975890,ILLUMINA,Illumina HiSeq 2500,NR0738,PAIRED,,WGS,GENOMIC,RANDOM,452744.0,113186000.0,,50824796;50231522,,,Anne-Catrin Uhlemann,2014-01-01,USA:New York City,Illumina HiSeq 2500 sequencing; Genomic analysis of diversification and resistance of the predominant clinical Enterobacter cloacae clones in NYC,False,2017-06-01,False,,urine,40.72 N 73.94 W,,,,,,,550,Enterobacter cloacae,NR0738,,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|wangzheng1984v@gmail.com on 2017-11-08; Enterobacter cloacae,,,,,,40.72,-73.94,,2014,
SRX762462,SRR1655996,SAMN03197764,SAMN03197764,SRS746972,ILLUMINA,Illumina HiSeq 2000,564_ECLO,PAIRED,,WGS,GENOMIC,RANDOM,603957.0,113790351.0,University of Washington,49018093;49601945,,,UW clinical laboratory,,USA: WA,Illumina HiSeq 2000 sequencing; Whole genome seq of Enterobacter cloacae clinical isolate: Sample 564_ECLO,False,2015-07-08,False,,,,,,,,,,550,Enterobacter cloacae,564_ECLO,University of Washington,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|stevesal on 2015-07-08; Enterobacter cloacae,,,,,,,,,,
SRX14504505,SRR18370080,SAMN26796441,SAMN26796441,SRS12303085,ILLUMINA,Illumina MiSeq,V27220114,PAIRED,,WGS,GENOMIC,RANDOM,450046.0,114081415.0,SUB11202878,27061052;27295794,,,UPHL,2021-11-17,USA: Utah,Illumina MiSeq sequencing; Wastewater Isolates,False,2022-03-21,False,,wastewater,,,,,,,,550,Enterobacter cloacae,V27220114,SUB11202878,,,,,,,,,,,,,,,,,This sample has been submitted by pda|erin.young on 2022-03-21; Enterobacter cloacae,,,,,,,,,2021-11-17,
ERX5462763,ERR5752144,SAMEA8581380,SAMEA8581380,ERS6266036,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,250.0,WGS,GENOMIC,size fractionation,405744.0,115625853.0,CARDIFF UNIVERSITY,42141983;49135828,,,researchers and medical staff,2016-01-01,Pakistan,Illumina MiSeq paired end sequencing,True,2021-08-09,False,,,33.0 N 73.0 E,,,,,,,158836,Enterobacter hormaechei,IS280,CARDIFF UNIVERSITY,,,,,,human,9606.0,diseased,,,,,,,,,Determining the role and impact of insects and spiders in the dissemination of multi-drug resistant,,,,,,33.0,73.0,,2016,
ERX5462726,ERR5752107,SAMEA8581417,SAMEA8581417,ERS6266073,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,250.0,WGS,GENOMIC,size fractionation,422202.0,117101074.0,CARDIFF UNIVERSITY,41282981;46090124,,,researchers and medical staff,2016-01-01,Pakistan,Illumina MiSeq paired end sequencing,True,2021-08-09,False,,,33.0 N 73.0 E,,,,,,,158836,Enterobacter hormaechei,IS647,CARDIFF UNIVERSITY,,,,,,human,9606.0,diseased,,,,,,,,,Determining the role and impact of insects and spiders in the dissemination of multi-drug resistant,,,,,,33.0,73.0,,2016,
SRX762463,SRR1655997,SAMN03197765,SAMN03197765,SRS746975,ILLUMINA,Illumina HiSeq 2000,565_ECLO,PAIRED,,WGS,GENOMIC,RANDOM,619974.0,117118750.0,University of Washington,50205877;50915898,,,UW clinical laboratory,,USA: WA,Illumina HiSeq 2000 sequencing; Whole genome seq of Enterobacter cloacae clinical isolate: Sample 565_ECLO,False,2015-07-08,False,,,,,,,,,,550,Enterobacter cloacae,565_ECLO,University of Washington,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|stevesal on 2015-07-08; Enterobacter cloacae,,,,,,,,,,
SRX14504366,SRR18370219,SAMN26796403,SAMN26796403,SRS12302945,ILLUMINA,Illumina MiSeq,N1220114,PAIRED,,WGS,GENOMIC,RANDOM,472048.0,117990151.0,SUB11202878,27067554;28091095,,,UPHL,2021-10-08,USA: Utah,Illumina MiSeq sequencing; Wastewater Isolates,False,2022-03-21,False,,wastewater,,,,,,,,61645,Enterobacter asburiae,N1220114,SUB11202878,,,,,,,,,,,,,,,,,This sample has been submitted by pda|erin.young on 2022-03-21; Enterobacter asburiae,,,,,,,,,2021-10-08,
ERX5988407,ERR6356856,SAMEA8993804,SAMEA8993804,ERS6676497,ILLUMINA,NextSeq 500,unspecified,PAIRED,250.0,WGS,GENOMIC,RANDOM,788966.0,118008459.0,UNIVERSITY HOSPITAL TUEBINGEN,36176161;36619080,,,,2019-01-01,Germany,NextSeq 500 paired end sequencing,False,2021-09-19,False,,,50.937466 N 7.051566 E,,,,,,,550,Enterobacter cloacae,10886,UNIVERSITY HOSPITAL TUEBINGEN,,,,,,,,not provided,,,,,,,,,E. cloacae complex isolate,,,,,,50.937466,7.051566,,2019,
ERX168345,ERR193656,SAMEA2037200,SAMEA2037200,ERS184245,ILLUMINA,Illumina MiSeq,,PAIRED,285.0,WGS,GENOMIC,RANDOM,394359.0,118307700.0,Wellcome Sanger Institute,53905490;50972929,,,,2008-01-01,United Kingdom,Illumina MiSeq paired end sequencing,False,2013-09-04,False,,not known,,not known,not known,,,,,550,Enterobacter cloacae,08_MB0013543-sc-2012-10-29T15:40:57Z-1504212,Wellcome Sanger Institute,,,,,,human,9606.0,not known,,,,,,,,,Enterobacter cloacae; Enterobacter cloacae; Enterobacter cloacae,,,,,,,,,2008,
ERX5462688,ERR5752069,SAMEA8581455,SAMEA8581455,ERS6266111,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,250.0,WGS,GENOMIC,size fractionation,446638.0,119588236.0,CARDIFF UNIVERSITY,43954325;50935981,,,researchers and medical staff,2016-01-01,Pakistan,Illumina MiSeq paired end sequencing,True,2021-08-09,False,,,33.0 N 73.0 E,,,,,,,158836,Enterobacter hormaechei,IW287,CARDIFF UNIVERSITY,,,,,,human,9606.0,diseased,,,,,,,,,Determining the role and impact of insects and spiders in the dissemination of multi-drug resistant,,,,,,33.0,73.0,,2016,
SRX9073425,SRR12586817,SAMN16056557,SAMN16056557,SRS7321533,ILLUMINA,Illumina MiSeq,s01,PAIRED,,WGS,GENOMIC,PCR,397799.0,119756235.0,SUB8092975,40783383;43738717,,,,2019-03-30,USA:Atlanta,Illumina MiSeq sequencing; Draft genome sequencing of Enterobacter hormaechei,False,2020-09-05,False,,,,,,,,,,158836,Enterobacter hormaechei,S01,SUB8092975,,,,,,shrimp,,,,,,,,,,,S01-Enterobacter hormaechei 2B-MC1,,,,,,,,,2019-03-30,
ERX5400692,ERR5685229,SAMEA8515058,SAMEA8515058,ERS6199857,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,250.0,WGS,GENOMIC,size fractionation,474192.0,120223474.0,CARDIFF UNIVERSITY,39845817;49720643,,,,2016-05-01,Bangladesh,Illumina MiSeq paired end sequencing,False,2021-05-31,False,,rectal swab,,,,,,,,550,Enterobacter cloacae,BC-MR411-2,CARDIFF UNIVERSITY,,,,,,human,9606.0,healthy,,,,,,,,,"Maternal and neonatal rectal carriage of beta-lactamases from low- and middle-income countries: prevalence, risk factors and genomes (part of the BARNARDS study).",,,,,,,,,2015-17,
ERX5988399,ERR6356848,SAMEA8993790,SAMEA8993790,ERS6676483,ILLUMINA,NextSeq 500,unspecified,PAIRED,250.0,WGS,GENOMIC,RANDOM,811724.0,121005699.0,UNIVERSITY HOSPITAL TUEBINGEN,36776022;36542073,,,,2019-01-01,Germany,NextSeq 500 paired end sequencing,False,2021-09-19,False,,,50.937466 N 7.051566 E,,,,,,,550,Enterobacter cloacae,10668,UNIVERSITY HOSPITAL TUEBINGEN,,,,,,,,not provided,,,,,,,,,E. cloacae complex isolate,,,,,,50.937466,7.051566,,2019,
ERX4015331,ERR4013942,SAMEA6656883,SAMEA6656883,ERS4416350,ILLUMINA,NextSeq 500,unspecified,PAIRED,300.0,WGS,GENOMIC,RANDOM,418752.0,121234759.0,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark",34455163;33897011,,,DTU,2018-01-01,Denmark,NextSeq 500 paired end sequencing,False,2021-01-05,False,,Tracheal secretion,56.26392 N 9.501785 E,,,,,,,550,Enterobacter cloacae,1D-577,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark",,,,,,Homo sapiens,9606.0,not provided,,,,,,,,,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2020-04-10; Enterobacter cloacae",,,,,,56.26392,9.501785,,2018,
SRX2880240,SRR5642134,SAMN07189614,SAMN07189614,SRS2248132,ILLUMINA,Illumina MiSeq,MB189,PAIRED,,WGS,GENOMIC,RANDOM,250238.0,121602123.0,,39381336;47263964,,,MDACC,2013-01-01,USA: Houston,Illumina MiSeq sequencing; whole genome sequencing of gram-negative bacteria,False,2017-06-03,False,,bacteremia,,,,,,,,550,Enterobacter cloacae,MB189,,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|sshelburne on 2017-11-08; Enterobacter cloacae,,,,,,,,,2013,
ERX5108656,ERR5319253,SAMEA8065682,SAMEA8065682,ERS5752853,ILLUMINA,Illumina NovaSeq 6000,AI2620_3,PAIRED,327.0,WGS,GENOMIC,RANDOM,810774.0,122426874.0,cnag-crg,28814917;30131529,,,,2018-01-01,Spain,Illumina NovaSeq 6000 paired end sequencing,False,2021-10-14,False,,Hospital Universitari Germans Trias i Pujol (Badalona),,,,,,,,550,Enterobacter cloacae,AI2620,cnag-crg,,,,,,Homo sapiens,9606.0,diseased,,,,,,,,,AI2620 DNA,,,,,,,,,2018,
SRX2880276,SRR5642098,SAMN07189611,SAMN07189611,SRS2248168,ILLUMINA,Illumina MiSeq,MB846,PAIRED,,WGS,GENOMIC,RANDOM,252838.0,122585370.0,,40443111;47927974,,,MDACC,2013-01-01,USA: Houston,Illumina MiSeq sequencing; whole genome sequencing of gram-negative bacteria,False,2017-06-03,False,,bacteremia,,,,,,,,550,Enterobacter cloacae,MB846,,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|sshelburne on 2017-11-08; Enterobacter cloacae,,,,,,,,,2013,
ERX5462685,ERR5752066,SAMEA8581458,SAMEA8581458,ERS6266114,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,250.0,WGS,GENOMIC,size fractionation,428390.0,123639123.0,CARDIFF UNIVERSITY,44101965;53425678,,,researchers and medical staff,2016-01-01,Pakistan,Illumina MiSeq paired end sequencing,True,2021-08-09,False,,,33.0 N 73.0 E,,,,,,,158836,Enterobacter hormaechei,IW333,CARDIFF UNIVERSITY,,,,,,human,9606.0,diseased,,,,,,,,,Determining the role and impact of insects and spiders in the dissemination of multi-drug resistant,,,,,,33.0,73.0,,2016,
SRX14101621,SRR17944012,SAMN25755488,SAMN25755488,SRS11927041,ILLUMINA,Illumina MiSeq,2022CK-00054,PAIRED,,WGS,GENOMIC,RANDOM,258395.0,123862278.0,SUB11050647,43762968;49685960,,,,2020-08-19,USA,Illumina MiSeq sequencing; AR Lab Network WGS,False,2022-02-09,False,,Rectal Swab,,,,,,,,550,Enterobacter cloacae,2022CK-00054,SUB11050647,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|erin.young on 2022-02-09; Enterobacter cloacae,,,,,,,,,2020-08-19,
SRX762800,SRR1656334,SAMN03198102,SAMN03198102,SRS747311,ILLUMINA,Illumina HiSeq 2000,895_ECLO,PAIRED,,WGS,GENOMIC,RANDOM,670836.0,124784002.0,University of Washington,53838623;53092780,,,UW clinical laboratory,,USA: WA,Illumina HiSeq 2000 sequencing; Whole genome seq of Enterobacter cloacae clinical isolate: Sample 895_ECLO,False,2015-07-08,False,,,,,,,,,,61645,Enterobacter asburiae,895_ECLO,University of Washington,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|stevesal on 2015-07-08; Enterobacter asburiae,,,,,,,,,,
SRX5120820,SRR8306298,SAMN10252244,SAMN10252244,SRS4134221,ILLUMINA,Illumina MiSeq,Sentry-2017-1018228,PAIRED,,WGS,GENOMIC,RANDOM,308947.0,124992459.0,SUB4904975,32251565;39542061,,,,2017-01-01,USA,Illumina MiSeq sequencing; WGS of Enterobacter hormaechei,False,2018-12-14,False,,,,,,,,,,158836,Enterobacter hormaechei,Sentry-2017-1018228,SUB4904975,,,,,,,,,,,,,,,,,This sample has been submitted by pda|andrewdavis on 2018-12-14; Enterobacter hormaechei,,,,,,,,,2017,
SRX14504531,SRR18370054,SAMN26796465,SAMN26796465,SRS12303109,ILLUMINA,Illumina MiSeq,F80220121,PAIRED,,WGS,GENOMIC,RANDOM,420624.0,125345952.0,SUB11202878,40452203;40864861,,,UPHL,2021-11-17,USA: Utah,Illumina MiSeq sequencing; Wastewater Isolates,False,2022-03-21,False,,wastewater,,,,,,,,550,Enterobacter cloacae,F80220121,SUB11202878,,,,,,,,,,,,,,,,,This sample has been submitted by pda|erin.young on 2022-03-21; Enterobacter cloacae,,,,,,,,,2021-11-17,
SRX10273448,SRR13893566,SAMN18207012,SAMN18207012,SRS8406599,ILLUMINA,Illumina HiSeq 2000,ENCL_404_ill,PAIRED,,WGS,GENOMIC,RANDOM,421393.0,125835851.0,SUB8768147,42747771;42648114,,,Johns Hopkins Hospital,2016-01-01,USA:Baltimore,Illumina HiSeq 2000 sequencing; illumina sequencing of e cloacae: clinical isolate,False,2021-03-12,False,,patient,39.29 N 76.59 W,,,,,,,550,Enterobacter cloacae,ENCL_404,SUB8768147,,,,,,Homo sapiens,9606.0,,,,,,,,,,ENCL_404,,,,,,39.29,-76.59,,2016,
SRX2880246,SRR5642128,SAMN07189622,SAMN07189622,SRS2248138,ILLUMINA,Illumina MiSeq,MB587A,PAIRED,,WGS,GENOMIC,RANDOM,260871.0,127027152.0,,39418003;55823801,,,MDACC,2013-01-01,USA: Houston,Illumina MiSeq sequencing; whole genome sequencing of gram-negative bacteria,False,2017-06-03,False,,bacteremia,,,,,,,,550,Enterobacter cloacae,MB587A,,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|sshelburne on 2017-11-08; Enterobacter cloacae,,,,,,,,,2013,
ERX6043236,ERR6415322,SAMEA9459707,SAMEA9459707,ERS7182720,ILLUMINA,Illumina MiSeq,WGS,PAIRED,250.0,WGS,GENOMIC,RANDOM,995218.0,127080521.0,Maastricht university Medical Centre,47237057;50589895,,,,2019-05-01,Netherlands,Illumina MiSeq paired end sequencing,False,2021-09-05,False,,hospital,,,,,,,,550,Enterobacter cloacae,13,Maastricht university Medical Centre,,,,,,Homo sapiens,9606.0,not provided,,,,,,,,,resistance gene island strains,,,,,,,,,2019-05-01,
SRX13481651,SRR17304287,SAMN24020777,SAMN24020777,SRS11377894,ILLUMINA,Illumina HiSeq 2500,229898,PAIRED,,WGS,GENOMIC,RANDOM,636105.0,127221000.0,SUB10689301,37403552;37779875,,,,2016-01-18,United Kingdom,Illumina HiSeq 2500 sequencing; Whole Genome Sequencing of pathogenic bacterial for AMR surveillance,False,2022-02-09,False,,,,,,,,,,550,Enterobacter cloacae,229898,SUB10689301,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|hassan.hartman@orcid on 2022-02-09; Enterobacter cloacae,,,,,,,,,2016-01-18,
ERX4316654,ERR4372662,SAMEA7082339,SAMEA7082339,ERS4842934,ILLUMINA,Illumina NovaSeq 6000,AN2360_4,PAIRED,327.0,WGS,GENOMIC,RANDOM,423773.0,127979446.0,Centro Nacional de Análisis Genómico,30654617;31907364,,,,2017-01-01,Spain,Illumina NovaSeq 6000 paired end sequencing,False,2021-10-14,False,,Hospital Arquitecto Marcide (Ferrol),,,,,,,,550,Enterobacter cloacae,AN2360,Centro Nacional de Análisis Genómico,,,,,,Homo sapiens,9606.0,diseased,,,,,,,,,AN2360 DNA,,,,,,,,,2017,
SRX14183790,SRR18031220,SAMN25989044,SAMN25989044,SRS12026212,ILLUMINA,Illumina HiSeq 4000,,PAIRED,,WGS,GENOMIC,unspecified,427096.0,128449544.0,,34618542;35612643,,,ModMedMicOxford,2016-01-01,United Kingdom: Manchester,Illumina HiSeq 4000 sequencing,False,2022-02-23,False,,Patient or hospital wastewater site,,,,,,,,550,Enterobacter cloacae,MMMOSAM:9f2896a2-8257-4c16-bcec-56553894cc5f,,,,,,,wastewater,,,,,,,,,,,Sequencing of isolates from wastewater sites and patients in 2016-2017,,,,,,,,,2016,
