,Name,ST,MLST_Profile,lineage
58,SRR3675579,33588fbaac46c3413c26f3ac13281fe2abba5296,17.15.20.19.20.18.22.f1dcbbc4427f8875bf06363cf8266d42feed58fa,3
59,ERR9117821,215,17.15.20.19.20.18.22.19,4.1.1.1
60,SRR6045993,379,17.15.20.19.160.18.22.19,4.10
61,ERR9117733,375,142.15.20.19.20.18.22.19,3
62,ERR9117692,215,17.15.20.19.20.18.22.19,4.6.2
63,ERR1413472,215,17.15.20.19.20.18.22.19,4.6.2.2
64,SRR6046084,215,17.15.20.19.20.18.22.19,3.1.2
65,ERR9117804,215,17.15.20.19.20.18.22.19,3.1.1
66,SRR18213853,336,17.15.20.19.20.18.22.184,3.1.2.2
67,SRR3675262,276,17.15.20.19.144.18.22.19,2.2.10
68,ERR7361995,279,140.15.20.19.20.18.22.19,4.3.3
69,SRR18213825,277,17.15.20.19.20.18.22.176,4.1.1.3
70,SRR18213672,215,17.15.20.19.20.18.22.19,2.2
71,SRR18213751,215,17.15.20.19.20.18.22.19,4.6.2
72,SRR18213742,215,17.15.20.19.20.18.22.19,4.1.2.1
73,SRR18213688,215,17.15.20.19.20.18.22.19,4.10
74,SRR6045449,215,17.15.20.19.20.18.22.19,3
75,ERR9117769,277,17.15.20.19.20.18.22.176,4.1.1.3
76,ERR072065,215,17.15.20.19.20.18.22.19,3.1.1
77,ERR9117720,215,17.15.20.19.20.18.22.19,2.2
78,SRR6045814,215,17.15.20.19.20.18.22.19,3.1.2.1
79,SRR6045093,215,17.15.20.19.20.18.22.19,4.1.2
80,SRR6045391,215,17.15.20.19.20.18.22.19,2.2.10
81,SRR18213895,215,17.15.20.19.20.18.22.19,3.1.1
82,ERR072077,215,17.15.20.19.20.18.22.19,3.1.1
83,SRR6046111,215,17.15.20.19.20.18.22.19,4.2.2
84,SRR18213868,215,17.15.20.19.20.18.22.19,4.4.1.1
85,ERR1413471,215,17.15.20.19.20.18.22.19,4.6.2.2
86,ERR9117835,215,17.15.20.19.20.18.22.19,3
87,ERR9117758,215,17.15.20.19.20.18.22.19,3
88,SRR18213893,215,17.15.20.19.20.18.22.19,3
89,ERR9117757,215,17.15.20.19.20.18.22.19,3
90,SRR18213715,215,17.15.20.19.20.18.22.19,3
91,ERR7362021,292,17.183.20.19.144.18.22.19,2.2.9
92,SRR6045309,277,17.15.20.19.20.18.22.176,4.1.1.3
93,SRR6045144,215,17.15.20.19.20.18.22.19,4.1.2.1
94,SRR6046313,215,17.15.20.19.20.18.22.19,3.1.2
95,SRR6045896,215,17.15.20.19.20.18.22.19,4.4.1.1
96,ERR9030272,215,17.15.20.19.20.18.22.19,4.1.1.1
97,SRR18213818,215,17.15.20.19.20.18.22.19,3
98,SRR6046078,215,17.15.20.19.20.18.22.19,4.10
99,ERR1413483,215,17.15.20.19.20.18.22.19,4.6.1.2
100,SRR18213946,277,17.15.20.19.20.18.22.176,4.1.1.3
101,SRR6045455,215,17.15.20.19.20.18.22.19,4.1.1.1
102,ERR9117694,4d9312aa8e352fed70c1a7c5146c35091043465e,17.15.20.19.20.18.22.eb2f5bf79fc8c78ea2b1e8e3cd6d6c4b7b65990d,3
103,SRR6045247,276,17.15.20.19.144.18.22.19,3
104,SRR6046092,215,17.15.20.19.20.18.22.19,4.10
105,SRR18213667,215,17.15.20.19.20.18.22.19,4.3.1
106,SRR18213678,289,17.15.20.19.20.170.22.19,4.1.2
107,SRR18213840,893,17.15.20.19.20.451.22.19,3
108,SRR18213954,215,17.15.20.19.20.18.22.19,3
109,SRR6046509,279,140.15.20.19.20.18.22.19,4.3.3
110,SRR6045686,876,17.15.20.19.20.18.22.465,4.3.4.2.1
111,ERR9117764,215,17.15.20.19.20.18.22.19,4.10
112,ERR072072,336,17.15.20.19.20.18.22.184,3.1.2.2
113,SRR6045753,215,17.15.20.19.20.18.22.19,3.1.1
114,SRR6046458,215,17.15.20.19.20.18.22.19,4.1.1.1
115,SRR6046415,276,17|17.15.20|20.19|19.144|144.18|18.22|22.19|19,3
116,ERR9117832,277,17.15.20.19.20.18.22.176,4.1.1.3
117,SRR6046518,215,17.15.20.19.20.18.22.19,3
118,SRR6045245,215,17.15.20.19.20.18.22.19,2.2.10
119,SRR18213888,215,17.15.20.19.20.18.22.19,3
120,SRR6045947,215,17.15.20.19.20.18.22.19,3
121,ERR7361976,279,140.15.20.19.20.18.22.19,4.3.3
122,SRR18213778,215,17.15.20.19.20.18.22.19,3
123,SRR6045958,215,17.15.20.19.20.18.22.19,3
124,SRR6046162,215,17.15.20.19.20.18.22.19,4.10
125,ERR9117685,215,17.15.20.19.20.18.22.19,3
126,SRR6046762,215,17.15.20.19.20.18.22.19,3
127,ERR7361915,215,17.15.20.19.20.18.22.19,4.1.2.1
128,ERR9117807,215,17.15.20.19.20.18.22.19,4.1.2.1
129,ERR9117762,215,17.15.20.19.20.18.22.19,4.3.4.2.1
130,SRR18213830,336,17.15.20.19.20.18.22.184,3.1.2.2
131,ERR9117717,215,17.15.20.19.20.18.22.19,4.10
132,SRR18213739,215,17.15.20.19.20.18.22.19,4.3.1
133,ERR9117707,215,17.15.20.19.20.18.22.19,4.10
134,SRR6045824,215,17.15.20.19.20.18.22.19,2.2.10
135,SRR18213835,215,17.15.20.19.20.18.22.19,4.5
136,SRR18213759,336,17.15.20.19.20.18.22.184,3.1.2.2
137,ERR7361997,276,17.15.20.19.144.18.22.19,4.1.2.1
138,ERR7361983,277,17.15.20.19.20.18.22.176,4.1.1.3
139,SRR18213892,215,17.15.20.19.20.18.22.19,3.1.1
140,SRR6046576,215,17.15.20.19.20.18.22.19,4.2.2
141,SRR6045284,215,17.15.20.19.20.18.22.19,4.1.2.1
142,SRR1735615,215,17.15.20.19.20.18.22.19,3
143,SRR6046578,215,17.15.20.19.20.18.22.19,2.2
144,SRR18213886,215,17.15.20.19.20.18.22.19,1.2.1
145,SRR6045177,215,17.15.20.19.20.18.22.19,3
146,SRR6045587,215,17.15.20.19.20.18.22.19,4.1.2.1
147,SRR18213960,215,17.15.20.19.20.18.22.19,4.2.2
148,ERR9117833,354c644ebaa5e18912de367a3646db42c6cc2856,dd24adb2105d19d6157405d4dded028f7a2749c8.15.20.19.20.18.22.19,3
149,SRR18213898,215,17.15.20.19.20.18.22.19,4.10
150,SRR18213928,215,17.15.20.19.20.18.22.19,4.2.2
151,SRR6045333,215,17.15.20.19.20.18.22.19,3
152,SRR6045453,215,17.15.20.19.20.18.22.19,4.10
153,ERR9117745,215,17.15.20.19.20.18.22.19,3
154,SRR6046895,215,17.15.20.19|19.20.18.22.19,4.1.2.1
155,ERR1413480,215,17.15.20.19.20.18.22.19,4.6.2.2
156,ERR1413479,215,17.15.20.19.20.18.22.19,4.6.2.2
157,ERR7362012,276,17.15.20.19.144.18.22.19,2.2
158,ERR7361962,279,140.15.20.19.20.18.22.19,4.3.3
159,SRR5007166,215,17.15.20.19.20.18.22.19,2.2.7
160,SRR18213908,215,17.15.20.19.20.18.22.19,3
161,ERR9117754,215,17.15.20.19.20.18.22.19,3
162,ERR9117679,215,17.15.20.19.20.18.22.19,2.2.10
163,SRR6046799,215,17.15.20.19.20.18.22.19,3
164,SRR18213920,215,17.15.20.19.20.18.22.19,4.5
165,SRR18213876,215,17.15.20.19.20.18.22.19,4.3.4.2
166,SRR6045951,215,17.15.20.19.20.18.22.19,3
167,SRR6045304,215,17.15.20.19.20.18.22.19,4.3.2
168,ERR7361922,215,17.15.20.19.20.18.22.19,4.3.2
169,SRR6046097,215,17.15.20.19.20.18.22.19,4.1.2.1
170,SRR6045298,215,17.15.20.19.20.18.22.19,3.1.2
171,SRR6045563,215,17.15.20.19.20.18.22.19,3
172,SRR6046837,215,17.15.20.19.20.18.22.19,4.1.1.1
173,SRR6046550,215,17.15.20.19.20.18.22.19,4.6.2.1
174,ERR9117811,215,17.15.20.19.20.18.22.19,3
175,SRR6045819,215,17.15.20.19.20.18.22.19,2.2.10
176,ERR9117820,215,17.15.20.19.20.18.22.19,3
177,SRR6045211,215,17.15.20.19.20.18.22.19,3
178,SRR18213904,215,17.15.20.19.20.18.22.19,4.10
179,SRR6045470,215,17.15.20.19.20.18.22.19,4.10
180,SRR6045146,0b089942a5b0981e1ce85e412c77addc61b6acfc,142.15.20.19.20.704a35c852db4249ccdf993fba530dfd10ce74a3.8ec69ad42c515d4730585c3dd318905e65897742.19,3
181,SRR18213890,215,17.15.20.19.20.18.22.19,3.1.1
182,SRR6045787,215,17.15.20.19.20.18.22.19,3.1.1
183,SRR6046551,215,17.15.20.19.20.18.22.19,3
184,SRR6046618,277,17.15.20.19.20.18.22.176,4.1.1.3
185,SRR18213708,215,17.15.20.19.20.18.22.19,4.4.1.1
186,SRR6045552,215,17.15.20.19.20.18.22.19,4.6.2.1
187,ERR9117778,215,17.15.20.19.20.18.22.19,3
188,ERR8025355,215,17.15.20.19.20.18.22.19,4.1.2.1
189,SRR6045169,215,17.15.20.19.20.18.22.19,4.10
190,ERR7361993,279,140.15.20.19.20.18.22.19,4.3.3
191,SRR6044852,215,17.15.20.19.20.18.22.19,4.3.4.1
192,ERR7361986,324,17.15.20.19.144.18.22.176,4.1.1.3
193,SRR6046075,215,17.15.20.19.20.18.22.19,4.10
194,SRR18213860,215,17.15.20.19.20.18.22.19,4.5
195,SRR6046222,299,17.15.20.19.20.18.185.19,4.1.3
196,SRR3675543,215,17.15.20.19.20.18.22.19,3
197,SRR6046057,215,17.15.20.19.20.18.22.19,4.10
198,ERR9117773,215,17.15.20.19.20.18.22.19,3
199,SRR18213927,215,17.15.20.19.20.18.22.19,4.5
200,SRR6045237,277,17.15.20.19.20.18.22.176,4.1.1.3
201,ERR7361971,215,17.15.20.19.20.18.22.19,2.2.1
202,SRR6045085,276,17.15.20.19.144.18.22.19,2.2.9
203,SRR6046763,215,17.15.20.19.20.18.22.19,4.1.1.1
204,SRR6045542,215,17.15.20.19.20.18.22.19,3
205,SRR6046042,215,17.15.20.19.20.18.22.19,3
206,SRR6046706,215,17.15.20.19.20.18.22.19,4.1.2.1
207,SRR18213820,900,17.15.20.19.20.18.22.468,4.10
208,ERR9117816,215,17.15.20.19.20.18.22.19,3
209,ERR9117693,215,17.15.20.19.20.18.22.19,3
210,SRR6045209,215,17.15.20.19.20.18.22.19,4.10
211,SRR6045108,215,17.15.20.19.20.18.22.19,3
212,SRR18213873,215,17.15.20.19.20.18.22.19,4.5
213,SRR6045189,215,17.15.20.19.20.18.22.19,3
214,ERR7361911,215,17.15.20.19.20.18.22.19,4.10
215,SRR6045123,323087d1ff0312b1e98e0507b3099b4825b456f5,17.9e1611f67837b7e3d3b3bdfeb169e89b5aff42a6.20.19.20.18.22.19,4.1.2.1
216,SRR6046791,215,17.15.20.19.20.18.22.19,4.3.1
217,ERR9117836,215,17.15.20.19.20.18.22.19,2.2.7
218,SRR18213827,215,17.15.20.19.20.18.22.19,3
219,ERR9117691,215,17.15.20.19.20.18.22.19,3
220,ERR9117672,215,17.15.20.19.20.18.22.19,4.10
221,ERR7361991,276,17.15.20.19.144.18.22.19,4.10
222,ERR9117715,341,17.15.20.19.20.18.22.186,4.10
223,SRR6045240,215,17.15.20.19.20.18.22.19,3
224,SRR6045292,215,17.15.20.19.20.18.22.19,2.2
225,ERR025838,215,17.15.20.19.20.18.22.19,4.10
226,SRR6045671,215,17.15.20.19.20.18.22.19,4.1.2.1
227,SRR6046558,215,17.15.20.19.20.18.22.19,3
228,SRR18213843,215,17.15.20.19.20.18.22.19,4.1.1
229,ERR9117843,215,17.15.20.19.20.18.22.19,4.4
230,ERR9117795,341,17.15.20.19.20.18.22.186,4.10
231,SRR6044863,215,17.15.20.19.20.18.22.19,3
232,ERR9117756,215,17.15.20.19.20.18.22.19,2.2
233,ERR9117703,215,17.15.20.19|19.20.18.22.19,3
234,SRR6046248,215,17.15.20.19.20.18.22.19,4.1.2.1
235,SRR6046324,215,17.15.20.19.20.18.22.19,4.10
236,SRR6046389,215,17.15.20.19.20.18.22.19,4.1.1.1
237,SRR6045063,215,17.15.20.19.20.18.22.19,4.4.1.1
238,SRR18213798,215,17.15.20.19.20.18.22.19,4.10
239,SRR6045808,215,17.15.20.19.20.18.22.19,2.2
240,SRR18213961,215,17.15.20.19.20.18.22.19,4.5
241,SRR18213953,215,17.15.20.19.20.18.22.19,1.1.2
242,SRR18213926,215,17.15.20.19.20.18.22.19,3
243,SRR6045685,215,17.15.20.19.20.18.22.19,3
244,SRR6046516,215,17.15.20.19.20.18.22.19,4.10
245,SRR6045586,215,17.15.20.19.20.18.22.19,3.1.2
246,SRR6045314,215,17.15.20.19.20.18.22.19,4.6.2.2
247,SRR6045186,215,17.15.20.19.20.18.22.19,3.1.1
248,ERR7361992,277,17.15.20.19.20.18.22.176,4.1.1.3
249,SRR6046306,876,17.15.20.19.20.18.22.465,4.3.4.2.1
250,SRR18213722,215,17.15.20.19.20.18.22.19,4.2.2
251,SRR6046680,279,140.15.20.19.20.18.22.19,4.3.3
252,SRR3675439,215,17.15.20.19.20.18.22.19,3
253,SRR18213847,215,17.15.20.19.20.18.22.19,3
254,SRR6044832,215,17.15.20.19.20.18.22.19,2.2.6
255,SRR6046825,215,17.15.20.19.20.18.22.19,4.3.1
256,SRR18213874,276,17.15.20.19.144.18.22.19,3.1.2.1
257,SRR6045579,215,17.15.20.19.20.18.22.19,3.1.2.1
258,SRR18213864,276,17.15.20.19.144.18.22.19,3
259,SRR6044959,215,17.15.20.19.20.18.22.19,4.6.2.2
260,SRR6045966,215,17.15.20.19.20.18.22.19,3
261,ERR7361966,215,17.15.20.19.20.18.22.19,2.2.1
262,SRR6044837,215,17.15.20.19.20.18.22.19,2.2.6
263,ERR7361912,215,17.15.20.19.20.18.22.19,4.1.1.1
264,SRR18213935,893,17.15.20.19.20.451.22.19,3
265,ERR9117793,215,17.15.20.19|19.20.18.22.19,3
266,ERR072046,215,17.15.20.19.20.18.22.19,4.10
267,ERR9117847,215,17.15.20.19.20.18.22.19,4.10
268,SRR6046279,215,17.15.20.19.20.18.22.19,3
269,SRR6046297,276,17.15.20.19.144.18.22.19,2.2
270,SRR18213880,215,17.15.20.19.20.18.22.19,3
271,SRR6045472,215,17.15.20.19.20.18.22.19,3.1.1
272,SRR6046373,215,17.15.20.19.20.18.22.19,4.4.1.1
273,SRR6045912,279,140.15.20.19.20.18.22.19,4.3.3
274,SRR18213716,215,17.15.20.19.20.18.22.19,3
275,SRR6045173,215,17.15.20.19.20.18.22.19,2.2
276,ERR072095,215,17.15.20.19.20.18.22.19,4.2.2
277,SRR6046052,323087d1ff0312b1e98e0507b3099b4825b456f5,17.9e1611f67837b7e3d3b3bdfeb169e89b5aff42a6.20.19.20.18.22.19,4.1.2.1
278,SRR18213787,215,17.15.20.19.20.18.22.19,4.1.2.1
279,SRR18213772,215,17.15.20.19.20.18.22.19,4.2.2
280,SRR18213813,276,17.15.20.19.144.18.22.19,3
281,SRR18213966,215,17.15.20.19.20.18.22.19,4.2.2
282,SRR6045918,279,140.15.20.19.20.18.22.19,4.3.3
283,ERR072030,279,140.15.20.19.20.18.22.19,4.3.3
284,SRR3675314,215,17.15.20.19.20.18.22.19,2.2
285,ERR7361921,215,17.15.20.19.20.18.22.19,4.1.1.1
286,SRR6045168,215,17.15.20.19.20.18.22.19,3
287,SRR1735713,215,17.15.20.19.20.18.22.19,4.5
288,SRR6046673,277,17.15.20.19.20.18.22.176,4.1.1.3
289,SRR6045828,215,17.15.20.19.20.18.22.19,2.2.8
290,ERR9117742,215,17.15.20.19.20.18.22.19,4.6.2.1
291,ERR072022,215,17.15.20.19.20.18.22.19,3
292,SRR6045779,215,17.15.20.19.20.18.22.19,3
293,SRR18213806,215,17.15.20.19.20.18.22.19,3
294,SRR18213828,277,17.15.20.19.20.18.22.176,4.1.1.3
295,SRR18213855,876,17.15.20.19.20.18.22.465,4.3.4.2.1
296,SRR6045670,215,17.15.20.19.20.18.22.19,4.1.2.1
297,ERR7361990,277,17.15.20.19.20.18.22.176,4.1.1.3
298,ERR072032,331,17.15.20.164.20.18.22.19,3
299,SRR6045984,215,17.15.20.19.20.18.22.19,3.1.2
300,SRR3675217,215,17.15.20.19.20.18.22.19,3
301,ERR7361987,324,17.15.20.19.144.18.22.176,4.1.1.3
302,ERR072027,215,17.15.20.19.20.18.22.19,2.2
303,SRR6046845,277,17.15.20.19.20.18.22.176,4.1.1.3
304,SRR6045873,215,17.15.20.19.20.18.22.19,3
305,SRR18213938,215,17.15.20.19.20.18.22.19,4.2.2
306,SRR18213852,215,17.15.20.19.20.18.22.19,3
307,SRR6045936,215,17.15.20.19.20.18.22.19,4.10
308,SRR6046555,215,17.15.20.19.20.18.22.19,3.1.1
309,SRR6046400,215,17.15.20.19.20.18.22.19,3
310,SRR6045774,893,17.15.20.19.20.451.22.19,3
311,SRR6045145,215,17.15.20.19.20.18.22.19,4.3.1
312,SRR6045244,215,17.15.20.19.20.18.22.19,4.2.2
313,SRR18213929,215,17.15.20.19.20.18.22.19,3.1.1
314,SRR6045880,215,17.15.20.19.20.18.22.19,4.6.2
315,ERR072088,277,17.15.20.19.20.18.22.176,4.1.1.3
316,SRR18213884,276,17.15.20.19.144.18.22.19,2.2.10
317,SRR6045971,379,17.15.20.19.160.18.22.19,4.1.2.1
318,ERR9117817,215,17.15.20.19.20.18.22.19,2.2
319,SRR6046223,215,17.15.20.19.20.18.22.19,3
320,SRR18213915,215,17.15.20.19.20.18.22.19,3
321,SRR6045057,215,17.15.20.19.20.18.22.19,4.6.2.2
322,SRR6045715,215,17.15.20.19.20.18.22.19,4.10
323,SRR6046093,215,17.15.20.19.20.18.22.19,3
324,SRR6045367,215,17.15.20.19.20.18.22.19,4.3.2.1
325,SRR6046717,215,17.15.20.19.20.18.22.19,3
326,SRR18213862,951,365.15.20.19.20.18.22.19,3
327,SRR18213702,893,17.15.20.19.20.451.22.19,3
328,SRR18213754,215,17.15.20.19.20.18.22.19,3
329,SRR18213833,215,17.15.20.19.20.18.22.19,4.1.2.1
330,SRR6045882,215,17.15.20.19.20.18.22.19,2.2
331,SRR18213669,215,17.15.20.19.20.18.22.19,4.10
332,ERR072051,215,17.15.20.19.20.18.22.19,4.10
333,SRR18213974,215,17.15.20.19.20.18.22.19,4.10
334,SRR6046038,215,17.15.20.19.20.18.22.19,4.6.2.2
335,SRR6046258,215,17.15.20.19.20.18.22.19,4.6.2
336,SRR6046827,215,17.15.20.19.20.18.22.19,3
337,SRR18213836,919,363.15.20.19.20.18.22.19,3
338,SRR6044896,379,17.15.20.19.160.18.22.19,4.10
339,SRR6045148,215,17.15.20.19.20.18.22.19,3
340,ERR072090,277,17.15.20.19.20.18.22.176,4.1.1.3
341,SRR6045870,279,140.15.20.19.20.18.22.19,4.3.3
342,SRR6044999,215,17.15.20.19.20.18.22.19,4.1.2.1
343,SRR6045420,215,17.15.20.19.20.18.22.19,4.1.2.1
344,SRR18213819,215,17.15.20.19.20.18.22.19,4.10
345,SRR6045074,277,17.15.20.19.20.18.22.176,4.1.1.3
346,SRR18213863,215,17.15.20.19.20.18.22.19,1.2.1
347,SRR18213919,215,17.15.20.19.20.18.22.19,3.1.1
348,SRR6046082,215,17.15.20.19.20.18.22.19,4.2.2
349,SRR6044978,277,17.15.20.19.20.18.22.176,4.1.1.3
350,SRR18213882,215,17.15.20.19.20.18.22.19,2.2
351,SRR6045238,215,17.15.20.19.20.18.22.19,4.1.1.1
352,ERR9117839,215,17.15.20.19.20.18.22.19,3
353,SRR6045781,215,17.15.20.19.20.18.22.19,3
354,SRR6046062,215,17.15.20.19.20.18.22.19,3
355,SRR18213671,215,17.15.20.19.20.18.22.19,3
356,SRR18213808,277,17.15.20.19.20.18.22.176,4.1.1.3
357,ERR072096,277,17.15.20.19.20.18.22.176,4.1.1.3
358,SRR18213810,215,17.15.20.19.20.18.22.19,3
359,ERR7362025,276,17.15.20.19.144.18.22.19,2.2.10
360,SRR6045004,215,17.15.20.19.20.18.22.19,4.10
361,SRR18213897,215,17.15.20.19.20.18.22.19,3
362,SRR18213658,215,17.15.20.19.20.18.22.19,3
363,SRR18213937,215,17.15.20.19.20.18.22.19,4.10
364,SRR6045507,215,17.15.20.19.20.18.22.19,4.6.2
365,ERR152760,215,17.15.20.19.20.18.22.19,2.2.1
366,SRR6046232,a7ed2abd8a0b89d8cf53b3c59283500686cfc410,17.15.20.19.20.18.22.25950d02c1eeb192a8dd41ce397002de05a8d8e6,4.1.2.1
367,ERR7361919,215,17.15.20.19.20.18.22.19,4.4.1.1
368,SRR18213775,215,17.15.20.19.20.18.22.19,3
369,ERR9117803,215,17.15.20.19.20.18.22.19,3
370,ERR7362024,284,17.15.20.19.145.18.22.19,2.2.10
371,ERR7362020,276,17.15.20.19.144.18.22.19,2.2.9
372,SRR6046898,375,142.15.20.19.20.18.22.19,3
373,SRR6044956,215,17.15.20.19|19.20.18.22.19,3
374,SRR6046137,215,17.15.20.19.20.18.22.19,4.6
375,ERR9117687,215,17.15.20.19.20.18.22.19,4.10
376,SRR18213832,215,17.15.20.19.20.18.22.19,3
377,SRR18213741,215,17.15.20.19.20.18.22.19,4.10
378,SRR18213814,215,17.15.20.19.20.18.22.19,3
379,SRR18213875,937,364.15.20.19.20.18.22.19,4.1.2.1
380,SRR18213944,215,17.15.20.19.20.18.22.19,3
381,SRR6046099,215,17.15.20.19.20.18.22.19,3
382,SRR6046369,215,17.15.20.19.20.18.22.19,4.4.1.1
383,SRR6045174,215,17.15.20.19.20.18.22.19,2.2
384,SRR18213755,215,17.15.20.19.20.18.22.19,4.3.4.1
385,SRR18213765,215,17.15.20.19.20.18.22.19,4.5
386,SRR18213848,215,17.15.20.19.20.18.22.19,3
387,SRR6046658,215,17.15.20.19.20.18.22.19,3
388,SRR18213839,215,17.15.20.19.20.18.22.19,3
389,SRR6045694,336,17.15.20.19.20.18.22.184,3.1.2.2
390,SRR6046351,215,17.15.20.19.20.18.22.19,4.1.1
391,SRR5007175,215,17.15.20.19.20.18.22.19,4.5
392,SRR18213962,215,17.15.20.19.20.18.22.19,3.1.1
393,SRR6046105,a57358aa94ce12a0da4ba4bf5d5549ce37d55979,140.15.20.89340aa6f2ceca02f513ea2a4ca19aa342453794.20.18.22.19,4.3.3
394,SRR3675238,215,17.15.20.19.20.18.22.19,3
395,SRR18213779,962,17.15.20.19.20.18.22.477,4.10
396,SRR18213849,215,17.15.20.19.20.18.22.19,2.2
397,SRR18213693,215,17.15.20.19.20.18.22.19,3.1.1
398,ERR072044,215,17.15.20.19.20.18.22.19,4.10
399,SRR18213745,215,17.15.20.19.20.18.22.19,3
400,SRR18213858,215,17.15.20.19.20.18.22.19,4.1.2.1
401,SRR18213854,336,17.15.20.19.20.18.22.184,3.1.2.2
402,SRR6045608,215,17.15.20.19.20.18.22.19,4.1.2.1
403,ERR072089,277,17.15.20.19.20.18.22.176,4.1.1.3
404,SRR1735605,215,17.15.20.19.20.18.22.19,4.1.2.1
405,SRR18213681,215,17.15.20.19.20.18.22.19,3
406,SRR6045421,215,17.15.20.19.20.18.22.19,3
407,SRR18213737,215,17.15.20.19.20.18.22.19,4.1.1
408,SRR6045841,215,17.15.20.19.20.18.22.19,4.2.2
409,ERR7361998,276,17.15.20.19.144.18.22.19,4.1.2.1
410,ERR9117767,215,17.15.20.19.20.18.22.19,2.2
411,SRR18213955,215,17.15.20.19.20.18.22.19,3.1.1
412,ERR9117735,215,17.15.20.19.20.18.22.19,4.10
413,SRR18213891,215,17.15.20.19.20.18.22.19,3
414,SRR18213776,215,17.15.20.19.20.18.22.19,2.2.5
415,SRR6045419,215,17.15.20.19.20.18.22.19,4.1.2.1
