sample,xxxfasta,species,ori_species,taxid,fasta
SRR15098459,test_ass/SRR15098459.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR15098459.fasta
SRR17656546,test_ass/SRR17656546.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR17656546.fasta
ERR5102642,test_ass/ERR5102642.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/ERR5102642.fasta
SRR9918909,test_ass/SRR9918909.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR9918909.fasta
SRR5949789,test_ass/SRR5949789.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR5949789.fasta
SRR12513247,test_ass/SRR12513247.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR12513247.fasta
SRR2593718,test_ass/SRR2593718.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR2593718.fasta
SRR13215062,test_ass/SRR13215062.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR13215062.fasta
SRR9918594,test_ass/SRR9918594.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR9918594.fasta
ERR3988715,test_ass/ERR3988715.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/ERR3988715.fasta
SRR13190699,test_ass/SRR13190699.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR13190699.fasta
ERR1912149,test_ass/ERR1912149.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/ERR1912149.fasta
SRR9842201,test_ass/SRR9842201.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR9842201.fasta
SRR13616337,test_ass/SRR13616337.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR13616337.fasta
SRR8199708,test_ass/SRR8199708.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR8199708.fasta
ERR4920696,test_ass/ERR4920696.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/ERR4920696.fasta
SRR17280625,test_ass/SRR17280625.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR17280625.fasta
SRR17233889,test_ass/SRR17233889.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR17233889.fasta
SRR12669006,test_ass/SRR12669006.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR12669006.fasta
SRR14328876,test_ass/SRR14328876.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR14328876.fasta
SRR13435692,test_ass/SRR13435692.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR13435692.fasta
SRR5311829,test_ass/SRR5311829.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR5311829.fasta
SRR9918456,test_ass/SRR9918456.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR9918456.fasta
SRR6789266,test_ass/SRR6789266.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR6789266.fasta
ERR4368874,test_ass/ERR4368874.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/ERR4368874.fasta
DRR313958,test_ass/DRR313958.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/DRR313958.fasta
SRR10728022,test_ass/SRR10728022.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR10728022.fasta
SRR7002820,test_ass/SRR7002820.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR7002820.fasta
SRR11288327,test_ass/SRR11288327.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR11288327.fasta
SRR6048088,test_ass/SRR6048088.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR6048088.fasta
SRR9918468,test_ass/SRR9918468.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR9918468.fasta
SRR5949783,test_ass/SRR5949783.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR5949783.fasta
SRR17280886,test_ass/SRR17280886.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR17280886.fasta
SRR13781793,test_ass/SRR13781793.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR13781793.fasta
SRR16200906,test_ass/SRR16200906.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR16200906.fasta
SRR8198798,test_ass/SRR8198798.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR8198798.fasta
SRR15793202,test_ass/SRR15793202.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR15793202.fasta
SRR9918871,test_ass/SRR9918871.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR9918871.fasta
SRR5642512,test_ass/SRR5642512.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR5642512.fasta
SRR12958688,test_ass/SRR12958688.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR12958688.fasta
SRR9918749,test_ass/SRR9918749.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR9918749.fasta
SRR14338703,test_ass/SRR14338703.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR14338703.fasta
SRR9918791,test_ass/SRR9918791.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR9918791.fasta
SRR8198973,test_ass/SRR8198973.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR8198973.fasta
SRR9824859,test_ass/SRR9824859.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR9824859.fasta
SRR8199090,test_ass/SRR8199090.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR8199090.fasta
SRR8612833,test_ass/SRR8612833.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR8612833.fasta
SRR8199598,test_ass/SRR8199598.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR8199598.fasta
SRR13616069,test_ass/SRR13616069.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR13616069.fasta
SRR13736557,test_ass/SRR13736557.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR13736557.fasta
ERR712455,test_ass/ERR712455.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/ERR712455.fasta
ERR4013620,test_ass/ERR4013620.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/ERR4013620.fasta
ERR3988588,test_ass/ERR3988588.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/ERR3988588.fasta
SRR9824704,test_ass/SRR9824704.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR9824704.fasta
SRR18508011,test_ass/SRR18508011.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR18508011.fasta
ERR8050643,test_ass/ERR8050643.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/ERR8050643.fasta
SRR9918543,test_ass/SRR9918543.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR9918543.fasta
SRR14338671,test_ass/SRR14338671.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR14338671.fasta
SRR13498625,test_ass/SRR13498625.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR13498625.fasta
SRR11468134,test_ass/SRR11468134.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR11468134.fasta
SRR6048043,test_ass/SRR6048043.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR6048043.fasta
SRR10696252,test_ass/SRR10696252.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR10696252.fasta
SRR17656779,test_ass/SRR17656779.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR17656779.fasta
SRR8199551,test_ass/SRR8199551.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR8199551.fasta
SRR17734041,test_ass/SRR17734041.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR17734041.fasta
SRR13616181,test_ass/SRR13616181.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR13616181.fasta
SRR12959621,test_ass/SRR12959621.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR12959621.fasta
SRR9824729,test_ass/SRR9824729.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR9824729.fasta
SRR17280753,test_ass/SRR17280753.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR17280753.fasta
ERR3988575,test_ass/ERR3988575.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/ERR3988575.fasta
SRR2939371,test_ass/SRR2939371.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR2939371.fasta
SRR9642611,test_ass/SRR9642611.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR9642611.fasta
ERR8098275,test_ass/ERR8098275.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/ERR8098275.fasta
SRR6048135,test_ass/SRR6048135.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR6048135.fasta
SRR9918852,test_ass/SRR9918852.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR9918852.fasta
SRR9918625,test_ass/SRR9918625.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR9918625.fasta
SRR14328934,test_ass/SRR14328934.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR14328934.fasta
SRR12337798,test_ass/SRR12337798.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR12337798.fasta
SRR13214927,test_ass/SRR13214927.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR13214927.fasta
SRR13791426,test_ass/SRR13791426.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR13791426.fasta
ERR3048044,test_ass/ERR3048044.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/ERR3048044.fasta
SRR9918845,test_ass/SRR9918845.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR9918845.fasta
SRR13791383,test_ass/SRR13791383.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR13791383.fasta
SRR5949790,test_ass/SRR5949790.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR5949790.fasta
SRR9902553,test_ass/SRR9902553.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR9902553.fasta
SRR8810283,test_ass/SRR8810283.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR8810283.fasta
SRR14328924,test_ass/SRR14328924.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR14328924.fasta
SRR16200908,test_ass/SRR16200908.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR16200908.fasta
SRR8199669,test_ass/SRR8199669.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR8199669.fasta
SRR13215117,test_ass/SRR13215117.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR13215117.fasta
SRR9647522,test_ass/SRR9647522.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR9647522.fasta
DRR039968,test_ass/DRR039968.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/DRR039968.fasta
SRR12568129,test_ass/SRR12568129.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR12568129.fasta
SRR13131559,test_ass/SRR13131559.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR13131559.fasta
SRR8199477,test_ass/SRR8199477.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR8199477.fasta
SRR8199535,test_ass/SRR8199535.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR8199535.fasta
SRR14328931,test_ass/SRR14328931.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR14328931.fasta
ERR1538270,test_ass/ERR1538270.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/ERR1538270.fasta
SRR15098341,test_ass/SRR15098341.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR15098341.fasta
SRR13215098,test_ass/SRR13215098.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR13215098.fasta
SRR8198838,test_ass/SRR8198838.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR8198838.fasta
SRR13214972,test_ass/SRR13214972.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR13214972.fasta
SRR5949774,test_ass/SRR5949774.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR5949774.fasta
SRR17233933,test_ass/SRR17233933.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR17233933.fasta
