accession_id,METHICILLIN,VANCOMYCIN
SRR13967265,none,none
ERR3623808,mecA,none
SRR8199677,mecA,none
ERR3093796,none,none
SRR11567652,mecA,none
SRR3728498,none,none
ERR223149,mecA,none
ERR4899877,none,none
SRR13967006,none,none
SRR3731607,none,none
ERR118591,mecA,none
SRR5486275,none,none
ERR1943802,mecA,none
ERR1069886,none,none
SRR11850316,mecA,none
ERR159064,mecA,none
SRR12649580,mecA,none
ERR2533605,none,none
SRR3730608,none,none
ERR1891941,mecA,none
SRR13966933,none,none
ERR485238,mecA,none
SRR13481062,mecA,none
SRR2054066,none,none
ERR124507,mecA,none
ERR3623768,mecA,none
SRR1522440,mecA,none
SRR13481063,mecA,none
SRR6347164,none,none
SRR12952290,none,none
SRR3728545,none,none
ERR1699863,none,none
SRR1172627,mecA,none
SRR10905586,none,none
SRR6347160,none,none
SRR13968428,none,none
ERR107899,mecA,none
ERR593197,mecA,none
SRR3731528,none,none
SRR13967416,none,none
SRR12586700,mecA,none
SRR5369684,mecA,none
SRR8616668,mecA,none
SRR4359168,none,none
ERR1904102,none,none
ERR4845784,none,none
ERR1700033,none,none
SRR6938528,mecA,none
SRR12960687,none,none
SRR12701032,mecA,none
ERR4899870,mecA,none
ERR107890,mecA,none
SRR13967091,none,none
SRR12108442,mecA,none
ERR357976,mecA,none
DRR123077,mecA,none
SRR10393648,mecA,none
SRR13967483,none,none
ERR594212,mecA,none
SRR10393656,mecA,none
SRR10393749,mecA,none
SRR7653515,mecA,none
SRR12078793,none,none
SRR5250176,none,none
SRR7839888,mecA,none
SRR3729156,none,none
ERR1700078,none,none
SRR6053646,none,none
SRR3194942,mecA,none
ERR1040816,mecA,none
SRR5250643,none,none
ERR2072391,mecA,none
SRR13995767,none,none
SRR13767882,mecA,none
ERR2072394,mecA,none
SRR12078833,none,none
SRR13481073,mecA,none
ERR1769122,mecA,none
ERR3623817,mecA,none
SRR13968576,none,none
ERR1143469,none,none
SRR3731910,none,none
SRR5226508,none,none
SRR11278501,none,none
SRR1178238,mecA,none
ERR2506483,mecA,none
SRR17118720,mecA,none
ERR2855761,mecA,none
ERR1943780,mecA,none
ERR1069951,none,none
SRR5244816,mecA,none
SRR3728391,none,none
SRR7839880,mecA,none
SRR3728658,mecA,none
ERR163664,mecA,none
ERR2059609,mecA,none
SRR6938447,none,none
SRR15460539,mecA,none
SRR2053992,none,none
ERR1041090,mecA,none
ERR1201312,none,none
ERR4013711,none,none
SRR13803534,mecA,none
SRR8712569,mecA,none
ERR044582,mecA,none
SRR2053929,none,none
SRR4359364,none,none
ERR594226,mecA,none
SRR11364523,mecA,none
SRR6347181,none,none
SRR5226513,none,none
ERR2059759,mecA,none
SRR5909172,mecA,none
SRR15460509,mecA,none
SRR13967776,none,none
SRR14862041,mecA,none
SRR13968002,none,none
SRR13966894,none,none
ERR1904217,none,none
ERR4911926,none,none
SRR13966906,none,none
SRR13967218,none,none
SRR13968664,mecA,none
SRR13967060,none,none
ERR109495,none,none
SRR5415239,mecA,none
ERR124527,mecA,none
SRR3731668,none,none
SRR10842807,mecA,none
SRR5250695,none,none
SRR5415352,mecA,none
SRR8352234,mecA,none
SRR3194883,mecA,none
SRR13967285,none,none
ERR3623882,mecA,none
SRR15372802,none,none
ERR1197505,mecA,none
SRR14016836,none,none
SRR12472601,mecA,none
SRR13966801,none,none
SRR12078857,mecA,none
SRR10179131,mecA,none
SRR5251276,none,none
ERR1592312,mecA,none
ERR1196015,mecA,none
SRR13967103,none,none
ERR2506482,mecA,none
SRR10126998,mecA,none
SRR7983665,mecA,none
ERR3938641,none,none
ERR1069849,none,none
SRR13298008,none,none
ERR237619,mecA,none
ERR496845,mecA,none
SRR13481085,mecA,none
SRR13825654,mecA,none
SRR13733403,mecA,none
SRR9700815,none,none
ERR3938605,none,none
SRR5909142,mecA,none
SRR11787420,mecA,none
SRR10393614,mecA,none
ERR2059773,mecA,none
SRR5244899,mecA,none
SRR6938339,none,none
SRR11850392,mecA,none
SRR5369697,mecA,none
ERR3494855,mecA,none
ERR1197212,mecA,none
ERR3148090,none,none
SRR12649577,mecA,none
SRR13803640,mecA,none
SRR3418695,mecA,none
SRR15460635,mecA,none
ERR084646,mecA,none
SRR7983700,mecA,none
ERR1700059,none,none
SRR13967989,none,none
SRR13450691,none,none
ERR4899867,mecA,none
ERR107920,mecA,none
SRR13803587,mecA,none
SRR10038315,mecA,none
ERR1769071,mecA,none
ERR111124,mecA,none
SRR13825779,mecA,none
SRR13481245,mecA,none
SRR3731425,none,none
ERR4899875,mecA,none
SRR10179207,mecA,none
SRR12078933,none,none
SRR12472550,none,none
SRR7297585,mecA,none
ERR2232631,mecA,none
SRR13967738,none,none
SRR3730425,none,none
ERR107891,mecA,none
ERR3012699,none,none
SRR17952369,mecA,none
SRR5226516,none,none
ERR5055873,none,none
SRR11850299,mecA,none
SRR11214708,none,none
SRR4360361,none,none
ERR045056,mecA,none
ERR1069840,none,none
SRR13995560,none,none
SRR13966953,none,none
ERR3012687,mecA,none
ERR5083344,none,none
SRR11850286,mecA,none
SRR13174238,none,none
ERR1891902,mecA,none
SRR12344214,mecA,none
ERR7162589,none,none
ERR3012674,none,none
SRR15903548,none,none
SRR10393795,mecA,none
ERR7162652,none,none
SRR11526842,mecA,none
SRR3418979,mecA,none
ERR2072563,mecA,none
ERR2533542,mecA,none
ERR1195603,mecA,none
ERR2525300,mecA,none
ERR7162625,none,none
SRR10126997,mecA,none
ERR134790,mecA,none
SRR8278163,mecA,none
SRR14571878,none,none
SRR11850360,mecA,none
SRR5054941,none,none
ERR3012768,mecA,none
ERR1715366,mecA,none
SRR15903567,none,none
SRR12481470,mecA,none
SRR11787450,mecA,none
SRR15903554,none,none
SRR10842783,mecA,none
ERR064928,mecA,none
ERR1227398,mecA,none
SRR3194885,mecA,none
SRR11526862,mecA,none
ERR4015162,none,none
SRR2054001,none,none
ERR163511,mecA,none
ERR1769090,mecA,none
SRR12693209,none,none
SRR10717292,mecA,none
SRR7538306,mecA,none
SRR10905473,mecA,none
ERR134397,mecA,none
SRR10393790,mecA,none
ERR234915,mecA,none
ERR2868338,mecA,none
SRR15274982,none,none
ERR357948,mecA,none
ERR4015105,none,none
SRR16104199,none,none
SRR6938530,none,none
SRR11526839,mecA,none
SRR13174202,none,none
SRR5226354,none,none
SRR17118705,mecA,none
SRR3731491,none,none
SRR8872560,mecA,none
SRR3729279,none,none
ERR177206,mecA,none
SRR7529082,mecA,none
ERR111104,mecA,none
SRR12568946,mecA,none
SRR14216091,none,none
SRR10168032,none,none
SRR11567677,mecA,none
SRR7825594,mecA,none
SRR15460607,mecA,none
SRR14923836,none,none
ERR957885,mecA,none
SRR8389065,none,none
SRR13967935,none,none
SRR14673258,none,none
ERR237663,mecA,none
ERR2780093,none,none
SRR17789997,none,none
SRR11997625,none,none
ERR2929425,mecA,none
SRR3728660,mecA,none
ERR134865,mecA,none
ERR5984874,mecA,none
SRR12858078,mecA,none
SRR13967873,none,none
SRR13767890,mecA,none
SRR1656253,none,none
SRR917641,mecA,none
SRR13967315,none,none
ERR1197183,mecA,none
SRR6118099,none,none
SRR13481236,mecA,none
ERR1143354,none,none
SRR1178216,mecA,none
SRR13968293,none,none
SRR2054048,none,none
ERR4624848,mecA,none
ERR1069906,none,none
ERR158776,mecA,none
SRR18339422,none,none
SRR3194907,mecA,none
SRR15460985,mecA,none
SRR5226510,none,none
SRR7983598,mecA,none
SRR13803688,mecA,none
SRR13194615,mecA,none
SRR4019294,none,none
ERR3991230,mecA,none
SRR5251318,none,none
ERR5052532,mecA,none
ERR118520,mecA,none
SRR4359399,none,none
SRR5250578,none,none
SRR5486274,none,none
SRR6938529,none,none
SRR6332143,mecA,none
SRR3731678,none,none
SRR15460987,mecA,none
SRR11567619,mecA,none
SRR11187855,mecA,none
ERR1904167,none,none
SRR5415223,mecA,none
SRR14319643,none,none
SRR5415374,mecA,none
ERR1904046,none,none
SRR17772251,none,none
SRR3418438,mecA,none
SRR1655409,mecA,none
SRR13968162,none,none
ERR1699926,none,none
SRR13966830,none,none
SRR12124519,mecA,none
SRR12344224,mecA,none
SRR6347245,none,none
SRR2054070,none,none
SRR13298055,none,none
SRR5244870,mecA,none
ERR5055885,none,none
ERR5984854,mecA,none
SRR3731524,none,none
SRR13968756,none,none
SRR6171569,none,none
SRR12472986,mecA,none
SRR513957,mecA,none
SRR10168000,none,none
ERR1903983,none,none
ERR732846,mecA,none
ERR1904088,none,none
ERR4656778,mecA,none
SRR14673323,mecA,none
ERR129329,mecA,none
SRR3730837,none,none
SRR13966942,mecA,none
ERR2639592,mecA,none
SRR5415436,mecA,none
SRR17071291,none,none
SRR3728695,mecA,none
ERR1943867,mecA,none
SRR3419004,mecA,none
SRR6346933,none,none
ERR1069947,none,none
ERR2533623,mecA,none
SRR14017146,none,none
SRR11015933,none,none
SRR1162397,mecA,none
SRR13968005,mecA,none
SRR3731639,none,none
SRR3730858,none,none
ERR134709,mecA,none
SRR15928241,none,none
SRR3728914,none,none
SRR7297570,mecA,none
SRR15882876,none,none
SRR10717439,mecA,none
ERR1891784,none,none
ERR4899984,mecA,none
SRR12952355,mecA,none
SRR796700,mecA,none
SRR11787377,mecA,none
SRR7747961,mecA,none
SRR6346876,none,none
ERR4911699,none,none
SRR5054927,none,none
SRR13967238,mecA,none
ERR1700047,none,none
ERR1143395,none,none
SRR3419065,mecA,none
ERR2072537,mecA,none
SRR12960627,none,none
ERR163611,mecA,none
SRR6347332,none,none
SRR13194656,mecA,none
SRR7297376,mecA,none
ERR1723827,mecA,none
SRR14016977,none,none
SRR5251256,none,none
ERR5052573,mecA,none
ERR044570,mecA,none
ERR2868361,mecA,none
ERR137335,mecA,none
SRR14571874,none,none
ERR223165,mecA,none
SRR3730916,none,none
ERR2059717,mecA,none
SRR8437270,mecA,none
ERR036014,mecA,none
SRR10179111,mecA,none
SRR3728385,none,none
DRR307749,mecA,none
SRR8399098,mecA,none
SRR5250683,none,none
SRR13968183,mecA,none
SRR11109851,mecA,none
SRR17952340,mecA,none
SRR15460566,mecA,none
ERR158632,mecA,none
SRR17789640,none,none
SRR16074793,none,none
ERR496883,mecA,none
SRR5244697,mecA,none
ERR1592348,none,none
SRR10126973,mecA,none
ERR114875,none,none
SRR6347307,mecA,none
SRR6346919,mecA,none
SRR14016937,none,none
SRR8074798,mecA,none
SRR796725,mecA,none
ERR2505613,none,none
SRR3418961,mecA,none
SRR13967694,mecA,none
SRR14933495,none,none
SRR5249908,none,none
SRR15461103,mecA,none
ERR1891939,none,none
SRR12952248,none,none
ERR230258,mecA,none
SRR5202260,mecA,none
SRR5249889,none,none
ERR961603,none,none
SRR14721887,mecA,none
SRR14267658,mecA,none
SRR15460824,mecA,none
ERR230339,mecA,none
ERR230319,mecA,none
SRR6347077,none,none
SRR11567692,none,none
SRR5369549,mecA,none
ERR1715379,none,none
SRR10728131,mecA,none
SRR14016904,none,none
SRR1539747,none,none
SRR11016269,mecA,none
SRR13080474,mecA,none
SRR14017144,none,none
SRR15460826,mecA,none
ERR4015194,none,none
SRR13967737,none,none
SRR11997560,none,none
ERR1638080,mecA,none
SRR15460966,mecA,none
ERR163707,mecA,none
ERR1943757,mecA,none
SRR15277157,none,none
SRR5251285,none,none
SRR14017212,none,none
ERR118568,mecA,none
ERR4899962,mecA,none
SRR3728420,mecA,none
SRR10393756,mecA,none
ERR1723954,mecA,none
SRR6171574,none,none
SRR13827612,mecA,none
ERR3498244,mecA,none
ERR4656794,none,none
ERR496835,mecA,none
SRR13995600,none,none
ERR1197249,mecA,none
SRR3730545,none,none
ERR111108,mecA,none
SRR12881633,none,none
SRR13689518,none,none
ERR1699894,none,none
SRR13733156,mecA,none
ERR3623830,mecA,none
SRR14673342,mecA,none
ERR3623767,mecA,none
ERR2533458,mecA,none
ERR1723923,mecA,none
SRR7748067,mecA,none
ERR1753401,none,none
ERR084550,mecA,none
ERR3623899,mecA,none
ERR038673,none,none
ERR3938635,none,none
SRR6332160,none,none
SRR5313823,mecA,none
ERR4015314,none,none
ERR505384,mecA,none
ERR1041007,none,none
SRR5415290,mecA,none
ERR357914,mecA,none
SRR3728672,mecA,none
ERR3494354,mecA,none
ERR134337,none,none
SRR15041124,mecA,none
ERR4845783,mecA,none
ERR230263,mecA,none
SRR6332108,none,none
ERR4899912,mecA,none
ERR357901,mecA,none
SRR13967955,none,none
SRR3728921,none,none
SRR1178131,mecA,none
ERR1040926,mecA,none
ERR111059,mecA,none
ERR3093780,none,none
SRR13966784,none,none
SRR13968537,none,none
SRR6346958,none,none
SRR14651523,mecA,none
SRR4359197,none,none
SRR3731336,none,none
SRR3418867,mecA,none
SRR13967335,none,none
ERR5052499,mecA,none
SRR13967095,none,none
ERR3012683,none,none
SRR15460470,mecA,none
SRR2054073,none,none
SRR7747948,mecA,none
ERR485208,mecA,none
SRR5369700,mecA,none
SRR10179179,mecA,none
ERR2525279,mecA,none
ERR4015191,none,none
SRR11016282,mecA,none
SRR18339533,none,none
ERR1040991,mecA,none
SRR13995668,none,none
ERR2533758,mecA,none
SRR10717193,mecA,none
SRR9734217,mecA,none
SRR6171111,none,none
SRR10393744,mecA,none
SRR7825296,mecA,none
ERR5052543,none,none
SRR1178173,mecA,none
ERR1213757,none,none
SRR10393663,mecA,none
ERR2232680,mecA,none
SRR5250414,none,none
SRR7297259,mecA,none
ERR7446583,none,none
SRR3730529,none,none
ERR039390,none,none
ERR129253,mecA,none
ERR3623732,mecA,none
ERR1589256,mecA,none
SRR13995458,none,none
SRR11997575,none,none
SRR3728595,none,none
SRR8074829,mecA,none
ERR3012665,mecA,none
SRR17118757,none,none
SRR6118103,none,none
ERR1904200,none,none
SRR13968112,none,none
ERR086114,mecA,none
SRR7983643,mecA,none
SRR3730880,none,none
ERR330996,mecA,none
ERR1069952,none,none
SRR13733386,mecA,none
SRR11016222,mecA,none
SRR12473056,mecA,none
SRR8733603,mecA,none
SRR13967791,none,none
SRR16104216,none,none
SRR12649581,mecA,none
ERR1943872,mecA,none
ERR358048,mecA,none
SRR5250617,mecA,none
SRR6347264,none,none
SRR3419070,mecA,none
ERR594197,mecA,none
SRR6053613,mecA,none
SRR5887187,none,none
ERR3012682,mecA,none
ERR485490,mecA,none
SRR7702580,none,none
ERR1699849,none,none
SRR13803211,mecA,none
SRR4360364,none,none
SRR8389045,none,none
SRR5249940,mecA,none
ERR237726,mecA,none
SRR10179284,mecA,none
SRR11612736,none,none
SRR796716,mecA,none
SRR5226409,none,none
SRR3418441,mecA,none
SRR5714674,none,none
ERR3012724,none,none
SRR8712661,mecA,none
SRR5486338,none,none
SRR3728698,none,none
SRR12586768,none,none
ERR1891822,mecA,none
ERR1903994,none,none
SRR1522726,none,none
SRR13968714,none,none
ERR1195900,mecA,none
ERR598734,mecA,none
ERR036013,mecA,none
SRR12472514,none,none
ERR1227383,mecA,none
SRR11139195,mecA,none
ERR163690,mecA,none
SRR15275005,none,none
SRR10259410,mecA,none
SRR6491080,mecA,none
SRR1539654,none,none
SRR14016945,none,none
ERR1197493,mecA,none
ERR2309544,none,none
SRR5887012,none,none
ERR8288566,mecA,none
SRR7983599,mecA,none
SRR3419026,mecA,none
ERR1040964,mecA,none
SRR6332098,none,none
SRR8399179,mecA,none
SRR15460606,mecA,none
SRR6168989,none,none
SRR14721888,mecA,none
ERR4911932,none,none
SRR4359262,none,none
SRR12979404,none,none
SRR12952477,none,none
ERR5052558,none,none
SRR3731838,none,none
SRR13966808,none,none
SRR12952231,none,none
ERR4899873,mecA,none
ERR2059638,none,none
SRR6938640,mecA,none
SRR11996398,mecA,none
ERR1891938,mecA,none
SRR6347149,none,none
SRR13967223,none,none
SRR6118091,none,none
SRR8389037,none,none
SRR3545502,mecA,none
ERR111102,mecA,none
ERR129285,mecA,none
ERR2525357,mecA,none
SRR11278492,none,none
SRR11850442,mecA,none
SRR7296958,mecA,none
SRR5054939,none,none
SRR18339360,none,none
ERR2780024,mecA,none
ERR4626463,none,none
SRR4359489,mecA,none
SRR5486353,none,none
SRR13967192,mecA,none
SRR8389109,none,none
ERR496887,mecA,none
ERR1040769,mecA,none
SRR6347165,none,none
SRR3437734,mecA,none
ERR866469,mecA,none
SRR13297991,none,none
SRR12960656,mecA,none
SRR13967778,none,none
SRR12079028,none,none
ERR2059707,none,none
SRR14291825,mecA,none
ERR1143415,none,none
SRR8872583,none,none
ERR2780028,mecA,none
ERR1195912,mecA,none
SRR7747959,mecA,none
SRR13966779,none,none
SRR8074794,mecA,none
ERR3623797,mecA,none
ERR358076,mecA,none
SRR10168038,none,none
SRR6938449,mecA,none
ERR3938590,none,none
SRR12233409,mecA,none
ERR594087,mecA,none
ERR4017507,none,none
SRR10418178,none,none
SRR5926160,mecA,none
ERR223157,mecA,none
ERR023884,mecA,none
SRR12472532,mecA,none
ERR4013675,none,none
SRR5369546,none,none
SRR6171107,none,none
SRR12586703,none,none
ERR118418,mecA,none
SRR14673732,mecA,none
ERR111065,mecA,none
SRR14866204,mecA,none
SRR917576,mecA,none
SRR1014714,mecA,none
SRR15460557,mecA,none
ERR1069960,none,none
SRR10717357,mecA,none
SRR6347290,none,none
SRR3730757,none,none
ERR4014755,none,none
SRR3730844,none,none
ERR5055824,none,none
SRR5714669,none,none
SRR6346862,none,none
ERR3494355,mecA,none
ERR2533559,mecA,none
SRR13968343,none,none
ERR1891922,mecA,none
SRR13827642,mecA,none
ERR2685217,mecA,none
SRR7297137,mecA,none
ERR134749,mecA,none
ERR594235,mecA,none
SRR14935941,none,none
SRR12472605,mecA,none
SRR11278547,none,none
SRR15460960,mecA,none
SRR6346872,none,none
SRR13803299,mecA,none
ERR352955,mecA,none
SRR7795229,none,none
SRR8712622,mecA,none
ERR4900007,mecA,none
ERR1943720,mecA,none
ERR5442489,mecA,none
SRR7983628,none,none
SRR16094624,mecA,none
SRR7529081,mecA,none
ERR177213,mecA,none
SRR6053718,none,none
ERR044580,mecA,none
SRR3728491,none,none
DRR123182,mecA,none
ERR1195979,mecA,none
SRR4140050,mecA,none
SRR13968331,none,none
SRR16074823,none,none
SRR13967993,none,none
SRR6938424,mecA,none
SRR12079157,none,none
SRR5250179,none,none
ERR485253,mecA,none
SRR8602036,none,none
ERR163620,mecA,none
SRR7867559,mecA,none
SRR3730565,mecA,none
ERR118558,mecA,none
ERR5055981,none,none
SRR10728159,mecA,none
SRR6346860,none,none
ERR212224,mecA,none
SRR8352240,mecA,none
SRR8074818,mecA,none
ERR4014944,none,none
SRR15275023,none,none
SRR6938604,none,none
SRR17071290,none,none
SRR15274989,none,none
SRR13061264,none,none
SRR16104218,none,none
ERR158642,mecA,none
SRR3729085,none,none
ERR3938634,none,none
ERR1723934,mecA,none
SRR5250372,none,none
ERR4015214,none,none
SRR12079114,none,none
SRR12344250,mecA,none
SRR12472609,mecA,none
SRR11612742,none,none
SRR3730731,none,none
DRR123163,mecA,none
ERR234997,mecA,none
SRR5486289,none,none
ERR1069990,none,none
SRR13968526,none,none
ERR866470,mecA,none
SRR11139442,mecA,none
ERR3012730,none,none
SRR7764588,mecA,none
ERR1040996,mecA,none
SRR3731629,mecA,none
SRR15460935,mecA,none
ERR593193,mecA,none
SRR5250234,none,none
SRR13967481,none,none
ERR1069920,mecA,none
SRR12342913,mecA,none
ERR1041022,mecA,none
ERR353039,mecA,none
ERR172064,none,none
SRR9734187,mecA,none
SRR6118113,none,none
SRR13803055,mecA,none
SRR13967969,none,none
ERR4845751,none,none
SRR3729386,mecA,none
ERR1753376,none,none
SRR10179201,none,none
SRR1790315,none,none
SRR13967823,none,none
ERR5442419,none,none
SRR3728528,none,none
ERR2533690,mecA,none
ERR4626558,mecA,none
ERR3938573,none,none
ERR380537,mecA,none
SRR6938635,mecA,none
SRR3731541,mecA,none
SRR7653525,mecA,none
ERR3792053,none,none
ERR158686,mecA,none
SRR3728734,none,none
SRR5250586,none,none
SRR10717386,mecA,none
ERR1195620,mecA,none
SRR8712561,mecA,none
SRR12079006,none,none
SRR18339365,none,none
SRR13825444,mecA,none
SRR17772275,mecA,none
SRR7748031,mecA,none
SRR1177887,mecA,none
ERR1891780,mecA,none
SRR12472531,none,none
SRR5250147,none,none
ERR3623806,mecA,none
SRR7748056,none,none
ERR1577220,mecC,none
ERR110805,mecA,none
ERR4899940,mecA,none
SRR10038417,mecA,none
SRR12078877,none,none
SRR5146159,mecA,none
ERR2505614,none,none
ERR1723863,mecA,none
SRR3730856,none,none
ERR9130986,mecA,none
ERR137309,mecA,none
ERR4845716,none,none
SRR16542467,mecA,none
ERR246640,none,none
SRR9026169,none,none
SRR8872499,none,none
SRR7748086,none,none
SRR15461071,mecA,none
SRR5251346,none,none
SRR10905839,mecA,none
SRR5407856,none,none
SRR14651518,none,none
ERR2072462,mecA,none
ERR134775,mecA,none
SRR5486374,none,none
SRR17772277,mecA,none
ERR1041018,none,none
SRR13967604,none,none
ERR4626626,none,none
ERR134751,mecA,none
ERR1753374,none,none
SRR1655344,none,none
ERR2072604,mecA,none
SRR11997612,none,none
SRR9026195,none,none
SRR15041175,mecA,none
SRR12344210,mecA,none
SRR5226549,none,none
SRR2107117,none,none
SRR3418939,mecA,none
ERR237650,mecA,none
SRR7867495,mecA,none
SRR8872643,mecA,none
SRR13967243,none,none
ERR163730,mecA,none
ERR1040743,mecA,none
ERR593141,mecA,none
ERR1700041,none,none
SRR7747958,mecA,none
ERR177196,mecA,none
ERR357957,mecA,none
SRR13995432,none,none
ERR086066,mecA,none
ERR1195803,mecA,none
SRR3418763,mecA,none
SRR11364536,mecA,none
SRR11139423,mecA,none
SRR12481473,mecA,none
SRR14291747,mecA,none
SRR8872628,none,none
SRR12472517,none,none
ERR2232649,mecA,none
SRR1158986,mecA,none
SRR6347280,none,none
SRR8389106,none,none
ERR7434431,mecA,none
ERR1591734,none,none
SRR15274977,none,none
SRR6171573,none,none
ERR1723911,mecA,none
ERR5052515,none,none
SRR8872630,mecA,none
ERR2525373,mecA,none
SRR5250564,none,none
SRR10393717,mecA,none
ERR246639,none,none
SRR12960607,none,none
SRR14723442,none,none
SRR5250340,none,none
ERR1040768,mecA,none
SRR5486375,none,none
SRR13967798,none,none
SRR5250607,none,none
SRR9647399,mecA,none
ERR330946,mecA,none
ERR2137040,mecA,none
ERR1591776,none,none
SRR3731866,none,none
SRR5244868,mecA,none
SRR5244910,none,none
SRR5415260,mecA,none
ERR358022,mecA,none
SRR12516041,mecA,none
ERR3991159,mecA,none
ERR593106,mecA,none
SRR8872619,none,none
SRR11016229,mecA,none
SRR13968744,none,none
ERR237699,mecA,none
ERR1069956,none,none
SRR13995957,none,none
SRR1177916,mecA,none
SRR11567641,mecA,none
ERR4013656,none,none
SRR15460887,mecA,none
ERR3991212,mecA,none
SRR5244847,mecA,none
SRR13966856,mecA,none
SRR3419100,mecA,none
SRR6171565,none,none
DRR123066,mecA,none
SRR5202197,mecA,none
SRR7653488,mecA,none
SRR3729375,mecA,none
ERR5055839,none,none
SRR13995923,none,none
SRR14457248,none,none
ERR2309599,none,none
SRR5415321,mecA,none
ERR1723858,mecA,none
SRR11526829,mecA,none
ERR353028,mecA,none
ERR4899933,mecA,none
SRR7867469,mecA,none
SRR12078887,none,none
SRR10717427,mecA,none
SRR5415389,mecA,none
SRR15372807,none,none
SRR11526872,mecA,none
ERR3938602,mecA,none
SRR5250238,none,none
ERR249316,mecA,none
SRR8872565,none,none
ERR4015152,none,none
SRR12343605,mecA,none
SRR10842806,mecA,none
SRR8074787,mecA,none
SRR3731567,none,none
ERR086113,mecA,none
SRR10905826,none,none
SRR12472560,mecA,none
ERR134395,mecA,none
SRR5486394,none,none
SRR10178984,mecA,none
ERR2525317,mecA,none
SRR11109873,mecA,none
SRR13481107,mecA,none
SRR5244935,mecA,none
ERR1213774,none,none
SRR2046702,mecA,none
SRR3418773,mecA,none
SRR13967045,none,none
ERR3280997,none,none
SRR5313901,mecA,none
SRR14673770,mecA,none
SRR5251365,none,none
SRR17952344,mecA,none
ERR1041123,mecA,none
SRR7297288,mecA,none
SRR3731828,none,none
ERR2780075,none,none
SRR13967339,mecA,none
ERR1041064,mecA,none
ERR2780008,mecA,none
SRR3731621,none,none
SRR15460561,mecA,none
ERR1041075,mecA,none
SRR5244685,mecA,none
ERR1069927,none,none
SRR5250584,none,none
ERR084666,mecA,none
SRR651381,mecA,none
ERR1753422,none,none
SRR13803103,mecA,none
SRR11612745,none,none
SRR17789905,none,none
SRR10393679,mecA,none
SRR7748115,none,none
ERR1753505,none,none
ERR1723896,mecA,none
ERR172043,none,none
ERR2780076,none,none
SRR17789802,none,none
SRR13995835,none,none
ERR353024,mecA,none
SRR13803419,mecA,none
ERR1903987,none,none
DRR198113,mecA,none
SRR15460601,mecA,none
ERR2695997,mecA,none
SRR12473015,mecA,none
DRR236028,mecA,none
ERR2533620,mecA,none
ERR2059640,mecA,none
SRR7983646,mecA,none
SRR5250247,none,none
SRR3731337,none,none
SRR7764587,mecA,none
SRR15460855,mecA,none
SRR5251275,mecA,none
SRR5250249,mecA,none
SRR3730773,none,none
SRR5250113,none,none
SRR5887171,none,none
ERR2639566,mecA,none
DRR273472,mecA,none
SRR13967304,none,none
ERR107870,mecA,none
SRR9700786,mecA,none
SRR6168994,none,none
ERR158785,mecA,none
SRR10102418,mecA,none
ERR3623621,mecA,none
SRR14017224,none,none
SRR5486298,none,none
ERR118549,mecA,none
ERR109623,none,none
ERR3938596,none,none
ERR1197236,mecA,none
ERR107950,mecA,none
SRR13968391,none,none
SRR10179149,mecA,none
SRR13481068,mecA,none
ERR1943770,mecA,none
SRR13968436,mecA,none
ERR7162666,none,none
SRR15928244,mecA,none
SRR11567686,mecA,none
SRR14267653,mecA,none
ERR2505666,none,none
